,序號,tool,category
0,0,Git,1
0,0,C++,1
0,0,Java,1
0,0,HTML,1
0,0,JavaScript,1
0,0,jQuery,1
0,0,CSS,1
0,0,Sass,1
0,0,VueJS,1
0,0,Angular,1
2,2,Git,1
2,2,AJAX,1
2,2,HTML,1
2,2,JavaScript,1
2,2,CSS,1
2,2,Node.js,1
2,2,ReactJS,1
2,2,Redux,1
3,6,Java,1
3,6,JSP,1
3,6,Spring,1
3,6,Struts,1
3,6,MSSQL,1
3,6,MySQL,1
3,6,WebLogic,1
3,6,J2EE,1
3,6,JavaScript,1
3,6,XML,1
3,6,jQuery,1
14,24,AWS,1
14,24,HTML,1
14,24,JavaScript,1
14,24,CSS,1
14,24,Node.js,1
14,24,VueJS,1
14,24,Angular,1
19,30,Git,1
19,30,C++,1
19,30,Java,1
19,30,HTML,1
19,30,JavaScript,1
19,30,jQuery,1
19,30,CSS,1
19,30,Sass,1
19,30,VueJS,1
19,30,Angular,1
21,32,Git,1
21,32,AJAX,1
21,32,HTML,1
21,32,JavaScript,1
21,32,CSS,1
21,32,Node.js,1
21,32,ReactJS,1
21,32,Redux,1
22,36,Java,1
22,36,JSP,1
22,36,Spring,1
22,36,Struts,1
22,36,MSSQL,1
22,36,MySQL,1
22,36,WebLogic,1
22,36,J2EE,1
22,36,JavaScript,1
22,36,XML,1
22,36,jQuery,1
31,51,MSSQL,1
31,51,MySQL,1
31,51,JavaScript,1
31,51,CSS,1
31,51,TCP/IP,1
31,51,SAP,1
55,88,Linux,1
55,88,Git,1
55,88,C#,1
55,88,Java,1
55,88,MSSQL,1
55,88,MySQL,1
55,88,HTML,1
55,88,JavaScript,1
55,88,jQuery,1
55,88,CSS,1
55,88,Node.js,1
55,88,ReactJS,1
55,88,Angular,1
63,99,Linux,1
63,99,AJAX,1
63,99,PHP,1
63,99,MySQL,1
63,99,HTML,1
63,99,JavaScript,1
63,99,jQuery,1
72,118,Linux,1
72,118,Git,1
72,118,C#,1
72,118,Java,1
72,118,MSSQL,1
72,118,MySQL,1
72,118,HTML,1
72,118,JavaScript,1
72,118,jQuery,1
72,118,CSS,1
72,118,Node.js,1
72,118,ReactJS,1
72,118,Angular,1
80,129,Linux,1
80,129,AJAX,1
80,129,PHP,1
80,129,MySQL,1
80,129,HTML,1
80,129,JavaScript,1
80,129,jQuery,1
89,148,Linux,1
89,148,Git,1
89,148,C#,1
89,148,Java,1
89,148,MSSQL,1
89,148,MySQL,1
89,148,HTML,1
89,148,JavaScript,1
89,148,jQuery,1
89,148,CSS,1
89,148,Node.js,1
89,148,ReactJS,1
89,148,Angular,1
97,159,Linux,1
97,159,AJAX,1
97,159,PHP,1
97,159,MySQL,1
97,159,HTML,1
97,159,JavaScript,1
97,159,jQuery,1
106,178,Linux,1
106,178,Git,1
106,178,C#,1
106,178,Java,1
106,178,MSSQL,1
106,178,MySQL,1
106,178,HTML,1
106,178,JavaScript,1
106,178,jQuery,1
106,178,CSS,1
106,178,Node.js,1
106,178,ReactJS,1
106,178,Angular,1
114,189,Linux,1
114,189,AJAX,1
114,189,PHP,1
114,189,MySQL,1
114,189,HTML,1
114,189,JavaScript,1
114,189,jQuery,1
116,191,Git,1
116,191,AJAX,1
116,191,ASP.NET,1
116,191,C#,1
116,191,Python,1
116,191,VisualBasic.net,1
116,191,VisualStudio,1
116,191,ETL,1
116,191,MSSQL,1
116,191,PostgreSQL,1
116,191,HTML,1
116,191,JavaScript,1
116,191,jQuery,1
116,191,CSS,1
129,218,ASP.NET,1
129,218,C#,1
129,218,MSSQL,1
129,218,HTML,1
129,218,JavaScript,1
129,218,CSS,1
132,221,Git,1
132,221,AJAX,1
132,221,ASP.NET,1
132,221,C#,1
132,221,Python,1
132,221,VisualBasic.net,1
132,221,VisualStudio,1
132,221,ETL,1
132,221,MSSQL,1
132,221,PostgreSQL,1
132,221,HTML,1
132,221,JavaScript,1
132,221,jQuery,1
132,221,CSS,1
145,248,ASP.NET,1
145,248,C#,1
145,248,MSSQL,1
145,248,HTML,1
145,248,JavaScript,1
145,248,CSS,1
148,251,Git,1
148,251,AJAX,1
