,序號,tool,category
5,9,Windows10,3
5,9,WindowsServer2019,3
5,9,ASP,3
5,9,ASP.NET,3
5,9,C#,3
5,9,Java,3
5,9,JSP,3
5,9,JDBC,3
5,9,MSSQL,3
5,9,Tomcat,3
5,9,IIS,3
5,9,Visio,3
5,9,Word,3
13,22,Git,3
13,22,C#,3
13,22,Java,3
13,22,Python,3
13,22,Node.js,3
17,28,Shell,3
17,28,UNIX,3
17,28,Java,3
17,28,Oracle,3
17,28,PL/SQL,3
18,29,AxureRP,3
24,39,Windows10,3
24,39,WindowsServer2019,3
24,39,ASP,3
24,39,ASP.NET,3
24,39,C#,3
24,39,Java,3
24,39,JSP,3
24,39,JDBC,3
24,39,MSSQL,3
24,39,Tomcat,3
24,39,IIS,3
24,39,Visio,3
24,39,Word,3
32,52,iOS,3
32,52,Objective-C,3
32,52,SWIFT,3
33,53,Android,3
33,53,Java,3
33,53,Kotlin,3
34,58,Linux,3
34,58,Android,3
34,58,Java,3
34,58,Kotlin,3
34,58,Flutter,3
34,58,JavaScript,3
37,62,C#,3
37,62,PHP,3
40,66,Git,3
41,67,iOS,3
41,67,SWIFT,3
42,68,Git,3
42,68,ASP.NET,3
42,68,Go,3
42,68,AWS,3
43,69,Git,3
43,69,HTML,3
43,69,Sass,3
43,69,Angular,3
44,71,C,3
44,71,C#,3
44,71,Java,3
44,71,MSSQL,3
49,76,ASP.NET,3
49,76,MSSQL,3
49,76,JavaScript,3
50,78,MSSQL,3
50,78,PowerPoint,3
50,78,AxureRP,3
52,82,Kotlin,3
52,82,JavaScript,3
53,86,OOAD,3
53,86,SystemsAnalysis,3
53,86,UML,3
53,86,ASP.NET,3
53,86,Java,3
53,86,DataModeling,3
54,87,OOAD,3
54,87,SystemsAnalysis,3
54,87,UML,3
54,87,ASP.NET,3
54,87,Java,3
54,87,DataModeling,3
57,91,Tableau,3
57,91,GoogleAnalytics,3
57,91,GoogleTagManager,3
57,91,Firebase,3
57,91,PowerBI,3
57,91,SAS,3
58,92,MSSQL,3
58,92,HTML,3
59,95,OOP,3
59,95,C#,3
59,95,C++,3
59,95,MSSQL,3
60,96,OOP,3
60,96,C#,3
60,96,C++,3
60,96,MFC,3
60,96,MySQL,3
64,100,Java,3
67,108,MSSQL,3
67,108,PowerPoint,3
67,108,AxureRP,3
69,112,Kotlin,3
69,112,JavaScript,3
70,116,OOAD,3
70,116,SystemsAnalysis,3
70,116,UML,3
70,116,ASP.NET,3
70,116,Java,3
70,116,DataModeling,3
71,117,OOAD,3
71,117,SystemsAnalysis,3
71,117,UML,3
71,117,ASP.NET,3
71,117,Java,3
71,117,DataModeling,3
74,121,Tableau,3
74,121,GoogleAnalytics,3
74,121,GoogleTagManager,3
74,121,Firebase,3
74,121,PowerBI,3
74,121,SAS,3
75,122,MSSQL,3
75,122,HTML,3
76,125,OOP,3
76,125,C#,3
76,125,C++,3
76,125,MSSQL,3
77,126,OOP,3
77,126,C#,3
77,126,C++,3
77,126,MFC,3
77,126,MySQL,3
81,130,Java,3
84,138,MSSQL,3
84,138,PowerPoint,3
84,138,AxureRP,3
86,142,Kotlin,3
86,142,JavaScript,3
87,146,OOAD,3
87,146,SystemsAnalysis,3
87,146,UML,3
87,146,ASP.NET,3
87,146,Java,3
87,146,DataModeling,3
88,147,OOAD,3
88,147,SystemsAnalysis,3
88,147,UML,3
88,147,ASP.NET,3
88,147,Java,3
88,147,DataModeling,3
91,151,Tableau,3
91,151,GoogleAnalytics,3
91,151,GoogleTagManager,3
91,151,Firebase,3
91,151,PowerBI,3
91,151,SAS,3
92,152,MSSQL,3
92,152,HTML,3
93,155,OOP,3
93,155,C#,3
93,155,C++,3
93,155,MSSQL,3
94,156,OOP,3
94,156,C#,3
94,156,C++,3
94,156,MFC,3
94,156,MySQL,3
98,160,Java,3
101,168,MSSQL,3
101,168,PowerPoint,3
101,168,AxureRP,3
