,序號,tool,category
4,8,UNIX,0
4,8,Github,0
4,8,Python,0
4,8,MySQL,0
4,8,JavaScript,0
4,8,Node.js,0
7,13,UNIX,0
7,13,Github,0
7,13,Python,0
7,13,MySQL,0
7,13,JavaScript,0
7,13,Node.js,0
8,14,UNIX,0
8,14,PHP,0
8,14,Python,0
8,14,MySQL,0
8,14,JavaScript,0
9,15,Linux,0
9,15,UNIX,0
9,15,PHP,0
9,15,Python,0
9,15,MySQL,0
9,15,JavaScript,0
15,25,Git,0
15,25,Python,0
15,25,AWS,0
15,25,Node.js,0
23,38,UNIX,0
23,38,Github,0
23,38,Python,0
23,38,MySQL,0
23,38,JavaScript,0
23,38,Node.js,0
26,43,UNIX,0
26,43,Github,0
26,43,Python,0
26,43,MySQL,0
26,43,JavaScript,0
26,43,Node.js,0
27,44,UNIX,0
27,44,PHP,0
27,44,Python,0
27,44,MySQL,0
27,44,JavaScript,0
28,45,Linux,0
28,45,UNIX,0
28,45,PHP,0
28,45,Python,0
28,45,MySQL,0
28,45,JavaScript,0
36,61,MySQL,0
36,61,Oracle,0
36,61,OracleERP,0
61,97,Linux,0
61,97,Python,0
61,97,Node.js,0
62,98,Linux,0
62,98,Python,0
62,98,Node.js,0
66,105,PHP,0
66,105,MySQL,0
66,105,HTML,0
66,105,jQuery,0
66,105,VueJS,0
78,127,Linux,0
78,127,Python,0
78,127,Node.js,0
79,128,Linux,0
79,128,Python,0
79,128,Node.js,0
83,135,PHP,0
83,135,MySQL,0
83,135,HTML,0
83,135,jQuery,0
83,135,VueJS,0
95,157,Linux,0
95,157,Python,0
95,157,Node.js,0
96,158,Linux,0
96,158,Python,0
96,158,Node.js,0
100,165,PHP,0
100,165,MySQL,0
100,165,HTML,0
100,165,jQuery,0
100,165,VueJS,0
112,187,Linux,0
112,187,Python,0
112,187,Node.js,0
113,188,Linux,0
113,188,Python,0
113,188,Node.js,0
117,197,Linux,0
117,197,Python,0
118,198,Git,0
118,198,PHP,0
118,198,MySQL,0
118,198,AWS,0
120,202,Git,0
120,202,PHP,0
120,202,MySQL,0
120,202,AWS,0
121,205,Linux,0
121,205,OOAD,0
121,205,UML,0
121,205,C#,0
121,205,Java,0
121,205,Python,0
121,205,hadoop,0
127,215,Windows10,0
127,215,Java,0
127,215,VBA,0
127,215,MySQL,0
127,215,LibreOfficeWriter,0
127,215,MacromediaDirector,0
133,227,Linux,0
133,227,Python,0
134,228,Git,0
134,228,PHP,0
134,228,MySQL,0
134,228,AWS,0
136,232,Git,0
136,232,PHP,0
136,232,MySQL,0
136,232,AWS,0
137,235,Linux,0
137,235,OOAD,0
137,235,UML,0
137,235,C#,0
137,235,Java,0
137,235,Python,0
137,235,hadoop,0
143,245,Windows10,0
143,245,Java,0
143,245,VBA,0
143,245,MySQL,0
143,245,LibreOfficeWriter,0
143,245,MacromediaDirector,0
149,257,Linux,0
149,257,Python,0
150,258,Git,0
150,258,PHP,0
150,258,MySQL,0
150,258,AWS,0
152,262,Git,0
152,262,PHP,0
152,262,MySQL,0
152,262,AWS,0
153,265,Linux,0
153,265,OOAD,0
153,265,UML,0
153,265,C#,0
153,265,Java,0
153,265,Python,0
153,265,hadoop,0
159,275,Windows10,0
159,275,Java,0
159,275,VBA,0
159,275,MySQL,0
159,275,LibreOfficeWriter,0
159,275,MacromediaDirector,0
165,287,Linux,0
165,287,Python,0
166,288,Git,0
166,288,PHP,0
166,288,MySQL,0
166,288,AWS,0
168,292,Git,0
168,292,PHP,0
168,292,MySQL,0
168,292,AWS,0
169,295,Linux,0
169,295,OOAD,0
169,295,UML,0
169,295,C#,0
169,295,Java,0
169,295,Python,0
169,295,hadoop,0
175,305,Windows10,0
175,305,Java,0
175,305,VBA,0
175,305,MySQL,0
175,305,LibreOfficeWriter,0
175,305,MacromediaDirector,0
181,317,Linux,0
181,317,Python,0
182,318,Git,0
182,318,PHP,0
182,318,MySQL,0
182,318,AWS,0
184,322,Git,0
184,322,PHP,0
184,322,MySQL,0
184,322,AWS,0
185,325,Linux,0
185,325,OOAD,0
185,325,UML,0
185,325,C#,0
185,325,Java,0
185,325,Python,0
185,325,hadoop,0
191,335,Windows10,0
191,335,Java,0
191,335,VBA,0
191,335,MySQL,0
191,335,LibreOfficeWriter,0
191,335,MacromediaDirector,0
197,347,Linux,0
197,347,Python,0
198,348,Git,0
198,348,PHP,0
198,348,MySQL,0
198,348,AWS,0
201,353,Linux,0
201,353,Github,0
201,353,PHP,0
201,353,MySQL,0
201,353,AWS,0
201,353,JavaScript,0
201,353,CSS,0
201,353,Node.js,0
202,355,C#,0
202,355,C++,0
202,355,Java,0
202,355,PHP,0
202,355,MySQL,0
205,359,Linux,0
205,359,Java,0
205,359,MySQL,0
205,359,Oracle,0
205,359,SOAP,0
206,363,Linux,0
206,363,PHP,0
206,363,MySQL,0
206,363,JavaScript,0
206,363,jQuery,0
207,367,Linux,0
207,367,Github,0
207,367,Jenkins,0
207,367,Git,0
207,367,Java,0
207,367,PHP,0
207,367,Go,0
207,367,MySQL,0
207,367,HTTP,0
207,367,TCP/IP,0
210,372,Linux,0
210,372,Github,0
210,372,Go,0
210,372,MySQL,0
210,372,HTTP,0
210,372,TCP/IP,0
212,376,Linux,0
212,376,Git,0
212,376,Python,0
212,376,VM,0
214,379,PHP,0
214,379,MySQL,0
214,379,JavaScript,0
217,383,Linux,0
217,383,Github,0
217,383,PHP,0
217,383,MySQL,0
217,383,AWS,0
217,383,JavaScript,0
217,383,CSS,0
217,383,Node.js,0
218,385,C#,0
218,385,C++,0
218,385,Java,0
218,385,PHP,0
218,385,MySQL,0
221,389,Linux,0
221,389,Java,0
221,389,MySQL,0
221,389,Oracle,0
221,389,SOAP,0
222,393,Linux,0
222,393,PHP,0
222,393,MySQL,0
222,393,JavaScript,0
222,393,jQuery,0
223,397,Linux,0
223,397,Github,0
223,397,Jenkins,0
223,397,Git,0
223,397,Java,0
223,397,PHP,0
223,397,Go,0
223,397,MySQL,0
223,397,HTTP,0
223,397,TCP/IP,0
226,402,Linux,0
226,402,Github,0
226,402,Go,0
226,402,MySQL,0
226,402,HTTP,0
226,402,TCP/IP,0
228,406,Linux,0
228,406,Git,0
228,406,Python,0
228,406,VM,0
230,409,PHP,0
230,409,MySQL,0
230,409,JavaScript,0
233,413,Linux,0
233,413,Github,0
233,413,PHP,0
233,413,MySQL,0
233,413,AWS,0
233,413,JavaScript,0
233,413,CSS,0
233,413,Node.js,0
234,415,C#,0
234,415,C++,0
234,415,Java,0
234,415,PHP,0
234,415,MySQL,0
237,419,Linux,0
237,419,Java,0
237,419,MySQL,0
237,419,Oracle,0
237,419,SOAP,0
332,601,Linux,0
332,601,MSSQL,0
332,601,MySQL,0
438,899,Linux,0
438,899,Jenkins,0
438,899,Git,0
438,899,Java,0
438,899,Spring,0
460,947,UML,0
460,947,Java,0
460,947,MSSQL,0
460,947,MySQL,0
462,958,MSSQL,0
462,958,MySQL,0
462,958,PL/SQL,0
473,977,UML,0
473,977,Java,0
473,977,MSSQL,0
473,977,MySQL,0
475,988,MSSQL,0
475,988,MySQL,0
475,988,PL/SQL,0
510,1065,Java,0
510,1065,Spring,0
510,1065,MSSQL,0
510,1065,MySQL,0
510,1065,ApacheSOAP,0
510,1065,JavaScript,0
511,1068,Java,0
511,1068,Python,0
511,1068,MySQL,0
511,1068,HTML,0
521,1091,Linux,0
521,1091,Github,0
521,1091,Git,0
521,1091,PHP,0
521,1091,MySQL,0
531,1106,Linux,0
531,1106,ABAQUS,0
531,1106,DDK,0
531,1106,MCU,0
531,1106,OOAD,0
531,1106,OOP,0
531,1106,OracleForms,0
531,1106,Servlets,0
531,1106,STL,0
531,1106,UML,0
531,1106,Github,0
531,1106,ASP.NET,0
531,1106,C,0
531,1106,C#,0
531,1106,C++,0
531,1106,Java,0
531,1106,PHP,0
531,1106,Ruby,0
531,1106,Spring,0
531,1106,MSSQL,0
531,1106,MySQL,0
531,1106,CICS,0
531,1106,ClearCase,0
531,1106,MQSeries,0
531,1106,WebLogic,0
531,1106,AWS,0
533,1108,Adabas,0
533,1108,ADO,0
533,1108,ANSISQL,0
533,1108,Brio,0
533,1108,CapacityPlanning,0
533,1108,CMMS,0
533,1108,Cognos,0
533,1108,DataGuard,0
533,1108,DataModeling,0
533,1108,DatabaseAdministrator,0
533,1108,DatabaseManagement,0
533,1108,DataStage,0
533,1108,DB2,0
533,1108,Dbase,0
533,1108,Endevor,0
533,1108,ERwin,0
533,1108,Essbase,0
533,1108,ETL,0
533,1108,FoWindowsXpro,0
533,1108,FoxBase,0
533,1108,FoxPro2,0
533,1108,IMS,0
533,1108,Informix,0
533,1108,Informatica,0
533,1108,Ingres,0
533,1108,Interbase,0
533,1108,ISPF,0
533,1108,Jasmine,0
533,1108,JDBC,0
533,1108,Access,0
533,1108,MSSQL,0
533,1108,MySQL,0
533,1108,ODBC,0
533,1108,OLAP,0
533,1108,Oracle,0
533,1108,OWB,0
533,1108,ParaDox,0
533,1108,PL/SQL,0
533,1108,PostgreSQL,0
533,1108,Progress,0
533,1108,RDBMS,0
533,1108,Sagent,0
533,1108,SAPDB,0
533,1108,Sybase,0
533,1108,SYSBASE,0
