,序號,tool,category
10,16,Excel,2
10,16,Project,2
10,16,Visio,2
10,16,Word,2
12,21,Excel,2
12,21,PowerPoint,2
12,21,Word,2
29,46,Excel,2
29,46,Project,2
29,46,Visio,2
29,46,Word,2
35,59,Java,2
35,59,Excel,2
35,59,Outlook,2
35,59,PowerPoint,2
35,59,Word,2
38,64,Excel,2
38,64,Outlook,2
38,64,Word,2
46,73,WindowsServer2012,2
46,73,MSSQL,2
46,73,HTML,2
46,73,JavaScript,2
46,73,Excel,2
46,73,PowerPoint,2
46,73,Project,2
46,73,Word,2
46,73,SPSS,2
47,74,Excel,2
47,74,Outlook,2
47,74,Word,2
48,75,Excel,2
48,75,PowerPoint,2
48,75,Project,2
48,75,Visio,2
56,89,Linux,2
56,89,Excel,2
56,89,PowerPoint,2
56,89,Word,2
65,104,C#,2
65,104,PHP,2
65,104,VisualStudio,2
65,104,JavaScript,2
65,104,Excel,2
65,104,PowerPoint,2
65,104,Word,2
73,119,Linux,2
73,119,Excel,2
73,119,PowerPoint,2
73,119,Word,2
82,134,C#,2
82,134,PHP,2
82,134,VisualStudio,2
82,134,JavaScript,2
82,134,Excel,2
82,134,PowerPoint,2
82,134,Word,2
90,149,Linux,2
90,149,Excel,2
90,149,PowerPoint,2
90,149,Word,2
99,164,C#,2
99,164,PHP,2
99,164,VisualStudio,2
99,164,JavaScript,2
99,164,Excel,2
99,164,PowerPoint,2
99,164,Word,2
107,179,Linux,2
107,179,Excel,2
107,179,PowerPoint,2
107,179,Word,2
242,430,Windows8,2
242,430,Excel,2
242,430,Outlook,2
242,430,PowerPoint,2
242,430,Word,2
242,430,中文打字20~50,2
242,430,英文打字20~50,2
245,435,Excel,2
245,435,Outlook,2
245,435,PowerPoint,2
245,435,Word,2
250,444,Excel,2
250,444,Outlook,2
250,444,Project,2
250,444,Word,2
250,444,AutoCAD,2
253,451,Excel,2
253,451,Outlook,2
253,451,PowerPoint,2
253,451,Word,2
254,452,Excel,2
254,452,Outlook,2
254,452,PowerPoint,2
254,452,Word,2
258,461,Windows8,2
258,461,Excel,2
258,461,Outlook,2
258,461,PowerPoint,2
258,461,Word,2
258,461,中文打字20~50,2
258,461,英文打字20~50,2
261,466,Excel,2
261,466,Outlook,2
261,466,PowerPoint,2
261,466,Word,2
266,475,Excel,2
266,475,Outlook,2
266,475,Project,2
266,475,Word,2
266,475,AutoCAD,2
269,482,Excel,2
269,482,Outlook,2
269,482,PowerPoint,2
269,482,Word,2
270,483,Excel,2
270,483,Outlook,2
270,483,PowerPoint,2
270,483,Word,2
274,492,Windows8,2
274,492,Excel,2
274,492,Outlook,2
274,492,PowerPoint,2
274,492,Word,2
274,492,中文打字20~50,2
274,492,英文打字20~50,2
277,497,Excel,2
277,497,Outlook,2
277,497,PowerPoint,2
277,497,Word,2
282,506,Excel,2
282,506,Outlook,2
282,506,Project,2
282,506,Word,2
282,506,AutoCAD,2
285,513,Excel,2
285,513,Outlook,2
285,513,PowerPoint,2
285,513,Word,2
286,514,Excel,2
286,514,Outlook,2
286,514,PowerPoint,2
286,514,Word,2
290,523,Windows8,2
290,523,Excel,2
290,523,Outlook,2
290,523,PowerPoint,2
290,523,Word,2
290,523,中文打字20~50,2
290,523,英文打字20~50,2
293,528,Excel,2
293,528,Outlook,2
293,528,PowerPoint,2
293,528,Word,2
298,537,Excel,2
298,537,Outlook,2
298,537,Project,2
298,537,Word,2
298,537,AutoCAD,2
301,544,Excel,2
301,544,Outlook,2
301,544,PowerPoint,2
301,544,Word,2
302,545,Excel,2
302,545,Outlook,2
302,545,PowerPoint,2
302,545,Word,2
306,554,Windows8,2
306,554,Excel,2
306,554,Outlook,2
306,554,PowerPoint,2
306,554,Word,2
306,554,中文打字20~50,2
306,554,英文打字20~50,2
309,559,Excel,2
