,序號,tool,category
81,130,['Java'],3
82,134,"['C#', 'PHP', 'VisualStudio', 'JavaScript', 'Excel', 'PowerPoint', 'Word']",2
83,135,"['PHP', 'MySQL', 'HTML', 'jQuery', 'VueJS']",0
84,138,"['MSSQL', 'PowerPoint', 'AxureRP']",3
85,140,"['C++', 'Python']",4
86,142,"['Kotlin', 'JavaScript']",3
87,146,"['OOAD', 'SystemsAnalysis', 'UML', 'ASP.NET', 'Java', 'DataModeling']",3
88,147,"['OOAD', 'SystemsAnalysis', 'UML', 'ASP.NET', 'Java', 'DataModeling']",3
89,148,"['Linux', 'Git', 'C#', 'Java', 'MSSQL', 'MySQL', 'HTML', 'JavaScript', 'jQuery', 'CSS', 'Node.js', 'ReactJS', 'Angular']",1
90,149,"['Linux', 'Excel', 'PowerPoint', 'Word']",2
91,151,"['Tableau', 'GoogleAnalytics', 'GoogleTagManager', 'Firebase', 'PowerBI', 'SAS']",3
92,152,"['MSSQL', 'HTML']",3
93,155,"['OOP', 'C#', 'C++', 'MSSQL']",3
94,156,"['OOP', 'C#', 'C++', 'MFC', 'MySQL']",3
95,157,"['Linux', 'Python', 'Node.js']",0
96,158,"['Linux', 'Python', 'Node.js']",0
97,159,"['Linux', 'AJAX', 'PHP', 'MySQL', 'HTML', 'JavaScript', 'jQuery']",1
98,160,['Java'],3
99,164,"['C#', 'PHP', 'VisualStudio', 'JavaScript', 'Excel', 'PowerPoint', 'Word']",2
100,165,"['PHP', 'MySQL', 'HTML', 'jQuery', 'VueJS']",0
101,168,"['MSSQL', 'PowerPoint', 'AxureRP']",3
102,170,"['C++', 'Python']",4
103,172,"['Kotlin', 'JavaScript']",3
104,176,"['OOAD', 'SystemsAnalysis', 'UML', 'ASP.NET', 'Java', 'DataModeling']",3
105,177,"['OOAD', 'SystemsAnalysis', 'UML', 'ASP.NET', 'Java', 'DataModeling']",3
106,178,"['Linux', 'Git', 'C#', 'Java', 'MSSQL', 'MySQL', 'HTML', 'JavaScript', 'jQuery', 'CSS', 'Node.js', 'ReactJS', 'Angular']",1
107,179,"['Linux', 'Excel', 'PowerPoint', 'Word']",2
108,181,"['Tableau', 'GoogleAnalytics', 'GoogleTagManager', 'Firebase', 'PowerBI', 'SAS']",3
109,182,"['MSSQL', 'HTML']",3
110,185,"['OOP', 'C#', 'C++', 'MSSQL']",3
111,186,"['OOP', 'C#', 'C++', 'MFC', 'MySQL']",3
112,187,"['Linux', 'Python', 'Node.js']",0
113,188,"['Linux', 'Python', 'Node.js']",0
114,189,"['Linux', 'AJAX', 'PHP', 'MySQL', 'HTML', 'JavaScript', 'jQuery']",1
115,190,['Java'],3
116,191,"['Git', 'AJAX', 'ASP.NET', 'C#', 'Python', 'VisualBasic.net', 'VisualStudio', 'ETL', 'MSSQL', 'PostgreSQL', 'HTML', 'JavaScript', 'jQuery', 'CSS']",1
117,197,"['Linux', 'Python']",0
118,198,"['Git', 'PHP', 'MySQL', 'AWS']",0
119,200,['AWS'],3
120,202,"['Git', 'PHP', 'MySQL', 'AWS']",0
121,205,"['Linux', 'OOAD', 'UML', 'C#', 'Java', 'Python', 'hadoop']",0
122,207,"['Linux', 'Vmware', 'AWS']",3
123,209,"['ASP.NET', 'C#', 'Java', 'JDBC', 'MSSQL', 'MySQL', 'MES']",3
124,211,"['Java', 'Oracle', 'PL/SQL']",3
125,212,"['C#', 'MSSQL', 'Oracle']",3
126,213,"['C#', 'Java', 'VBA', 'VBScript']",3
127,215,"['Windows10', 'Java', 'VBA', 'MySQL', 'LibreOfficeWriter', 'MacromediaDirector']",0
128,217,"['Linux', 'MSSQL', 'Oracle', 'PL/SQL']",3
129,218,"['ASP.NET', 'C#', 'MSSQL', 'HTML', 'JavaScript', 'CSS']",1
130,219,['SAP'],3
131,220,['SAP'],3
132,221,"['Git', 'AJAX', 'ASP.NET', 'C#', 'Python', 'VisualBasic.net', 'VisualStudio', 'ETL', 'MSSQL', 'PostgreSQL', 'HTML', 'JavaScript', 'jQuery', 'CSS']",1
133,227,"['Linux', 'Python']",0
134,228,"['Git', 'PHP', 'MySQL', 'AWS']",0
135,230,['AWS'],3
136,232,"['Git', 'PHP', 'MySQL', 'AWS']",0
137,235,"['Linux', 'OOAD', 'UML', 'C#', 'Java', 'Python', 'hadoop']",0
138,237,"['Linux', 'Vmware', 'AWS']",3
139,239,"['ASP.NET', 'C#', 'Java', 'JDBC', 'MSSQL', 'MySQL', 'MES']",3
140,241,"['Java', 'Oracle', 'PL/SQL']",3
141,242,"['C#', 'MSSQL', 'Oracle']",3
142,243,"['C#', 'Java', 'VBA', 'VBScript']",3
143,245,"['Windows10', 'Java', 'VBA', 'MySQL', 'LibreOfficeWriter', 'MacromediaDirector']",0
144,247,"['Linux', 'MSSQL', 'Oracle', 'PL/SQL']",3
145,248,"['ASP.NET', 'C#', 'MSSQL', 'HTML', 'JavaScript', 'CSS']",1
146,249,['SAP'],3
147,250,['SAP'],3
148,251,"['Git', 'AJAX', 'ASP.NET', 'C#', 'Python', 'VisualBasic.net', 'VisualStudio', 'ETL', 'MSSQL', 'PostgreSQL', 'HTML', 'JavaScript', 'jQuery', 'CSS']",1
149,257,"['Linux', 'Python']",0
150,258,"['Git', 'PHP', 'MySQL', 'AWS']",0
151,260,['AWS'],3
152,262,"['Git', 'PHP', 'MySQL', 'AWS']",0
153,265,"['Linux', 'OOAD', 'UML', 'C#', 'Java', 'Python', 'hadoop']",0
154,267,"['Linux', 'Vmware', 'AWS']",3
155,269,"['ASP.NET', 'C#', 'Java', 'JDBC', 'MSSQL', 'MySQL', 'MES']",3
156,271,"['Java', 'Oracle', 'PL/SQL']",3
157,272,"['C#', 'MSSQL', 'Oracle']",3
158,273,"['C#', 'Java', 'VBA', 'VBScript']",3
159,275,"['Windows10', 'Java', 'VBA', 'MySQL', 'LibreOfficeWriter', 'MacromediaDirector']",0
160,277,"['Linux', 'MSSQL', 'Oracle', 'PL/SQL']",3
161,278,"['ASP.NET', 'C#', 'MSSQL', 'HTML', 'JavaScript', 'CSS']",1
162,279,['SAP'],3
163,280,['SAP'],3
164,281,"['Git', 'AJAX', 'ASP.NET', 'C#', 'Python', 'VisualBasic.net', 'VisualStudio', 'ETL', 'MSSQL', 'PostgreSQL', 'HTML', 'JavaScript', 'jQuery', 'CSS']",1
165,287,"['Linux', 'Python']",0
166,288,"['Git', 'PHP', 'MySQL', 'AWS']",0
167,290,['AWS'],3
168,292,"['Git', 'PHP', 'MySQL', 'AWS']",0
169,295,"['Linux', 'OOAD', 'UML', 'C#', 'Java', 'Python', 'hadoop']",0
170,297,"['Linux', 'Vmware', 'AWS']",3
171,299,"['ASP.NET', 'C#', 'Java', 'JDBC', 'MSSQL', 'MySQL', 'MES']",3
172,301,"['Java', 'Oracle', 'PL/SQL']",3
173,302,"['C#', 'MSSQL', 'Oracle']",3
174,303,"['C#', 'Java', 'VBA', 'VBScript']",3
175,305,"['Windows10', 'Java', 'VBA', 'MySQL', 'LibreOfficeWriter', 'MacromediaDirector']",0
176,307,"['Linux', 'MSSQL', 'Oracle', 'PL/SQL']",3
177,308,"['ASP.NET', 'C#', 'MSSQL', 'HTML', 'JavaScript', 'CSS']",1
178,309,['SAP'],3
179,310,['SAP'],3
180,311,"['Git', 'AJAX', 'ASP.NET', 'C#', 'Python', 'VisualBasic.net', 'VisualStudio', 'ETL', 'MSSQL', 'PostgreSQL', 'HTML', 'JavaScript', 'jQuery', 'CSS']",1
181,317,"['Linux', 'Python']",0
182,318,"['Git', 'PHP', 'MySQL', 'AWS']",0
183,320,['AWS'],3
184,322,"['Git', 'PHP', 'MySQL', 'AWS']",0
185,325,"['Linux', 'OOAD', 'UML', 'C#', 'Java', 'Python', 'hadoop']",0
186,327,"['Linux', 'Vmware', 'AWS']",3
187,329,"['ASP.NET', 'C#', 'Java', 'JDBC', 'MSSQL', 'MySQL', 'MES']",3
188,331,"['Java', 'Oracle', 'PL/SQL']",3
189,332,"['C#', 'MSSQL', 'Oracle']",3
190,333,"['C#', 'Java', 'VBA', 'VBScript']",3
191,335,"['Windows10', 'Java', 'VBA', 'MySQL', 'LibreOfficeWriter', 'MacromediaDirector']",0
192,337,"['Linux', 'MSSQL', 'Oracle', 'PL/SQL']",3
193,338,"['ASP.NET', 'C#', 'MSSQL', 'HTML', 'JavaScript', 'CSS']",1
194,339,['SAP'],3
195,340,['SAP'],3
196,341,"['Git', 'AJAX', 'ASP.NET', 'C#', 'Python', 'VisualBasic.net', 'VisualStudio', 'ETL', 'MSSQL', 'PostgreSQL', 'HTML', 'JavaScript', 'jQuery', 'CSS']",1
197,347,"['Linux', 'Python']",0
198,348,"['Git', 'PHP', 'MySQL', 'AWS']",0
199,351,"['Git', 'ASP.NET']",3
200,352,"['HTML', 'JavaScript', 'CSS', 'Node.js', 'ReactNative', 'ReactJS', 'Redux']",1
201,353,"['Linux', 'Github', 'PHP', 'MySQL', 'AWS', 'JavaScript', 'CSS', 'Node.js']",0
202,355,"['C#', 'C++', 'Java', 'PHP', 'MySQL']",0
203,357,"['Windows10', 'ASP.NET', 'MSSQL', 'JavaScript']",3
204,358,['Android'],3
205,359,"['Linux', 'Java', 'MySQL', 'Oracle', 'SOAP']",0
206,363,"['Linux', 'PHP', 'MySQL', 'JavaScript', 'jQuery']",0
207,367,"['Linux', 'Github', 'Jenkins', 'Git', 'Java', 'PHP', 'Go', 'MySQL', 'HTTP', 'TCP/IP']",0
208,368,"['Java', 'PHP', 'HTML', 'JavaScript']",1
209,370,"['C', 'C#', 'Java']",4
210,372,"['Linux', 'Github', 'Go', 'MySQL', 'HTTP', 'TCP/IP']",0
211,374,"['Java', 'JavaScript']",3
212,376,"['Linux', 'Git', 'Python', 'VM']",0
213,378,"['C#', 'MSSQL', 'HTML', 'jQuery', 'IIS']",1
214,379,"['PHP', 'MySQL', 'JavaScript']",0
215,381,"['Git', 'ASP.NET']",3
216,382,"['HTML', 'JavaScript', 'CSS', 'Node.js', 'ReactNative', 'ReactJS', 'Redux']",1
217,383,"['Linux', 'Github', 'PHP', 'MySQL', 'AWS', 'JavaScript', 'CSS', 'Node.js']",0
218,385,"['C#', 'C++', 'Java', 'PHP', 'MySQL']",0
219,387,"['Windows10', 'ASP.NET', 'MSSQL', 'JavaScript']",3
220,388,['Android'],3
221,389,"['Linux', 'Java', 'MySQL', 'Oracle', 'SOAP']",0
222,393,"['Linux', 'PHP', 'MySQL', 'JavaScript', 'jQuery']",0
223,397,"['Linux', 'Github', 'Jenkins', 'Git', 'Java', 'PHP', 'Go', 'MySQL', 'HTTP', 'TCP/IP']",0
224,398,"['Java', 'PHP', 'HTML', 'JavaScript']",1
225,400,"['C', 'C#', 'Java']",4
226,402,"['Linux', 'Github', 'Go', 'MySQL', 'HTTP', 'TCP/IP']",0
227,404,"['Java', 'JavaScript']",3
228,406,"['Linux', 'Git', 'Python', 'VM']",0
229,408,"['C#', 'MSSQL', 'HTML', 'jQuery', 'IIS']",1
230,409,"['PHP', 'MySQL', 'JavaScript']",0
231,411,"['Git', 'ASP.NET']",3
232,412,"['HTML', 'JavaScript', 'CSS', 'Node.js', 'ReactNative', 'ReactJS', 'Redux']",1
233,413,"['Linux', 'Github', 'PHP', 'MySQL', 'AWS', 'JavaScript', 'CSS', 'Node.js']",0
234,415,"['C#', 'C++', 'Java', 'PHP', 'MySQL']",0
235,417,"['Windows10', 'ASP.NET', 'MSSQL', 'JavaScript']",3
236,418,['Android'],3
237,419,"['Linux', 'Java', 'MySQL', 'Oracle', 'SOAP']",0
238,422,"['GoogleAnalytics', 'AxureRP', 'InVision', 'AdobeXD']",3
239,423,"['ASP.NET', 'C++.Net', 'Java', 'VisualBasic.net', 'VisualStudio.net', 'JavaScript']",3
240,425,"['C#', 'Java', 'MSSQL', 'MySQL', 'HTML', 'JavaScript']",1
241,427,"['Android', 'iOS', 'Git']",3
242,430,"['Windows8', 'Excel', 'Outlook', 'PowerPoint', 'Word', '中文打字20~50', '英文打字20~50']",2
243,431,['SAP'],3
244,432,"['ASP.NET', 'C#']",3
245,435,"['Excel', 'Outlook', 'PowerPoint', 'Word']",2
246,437,"['Github', 'Git', 'Java', 'PHP', 'Python', 'MSSQL', 'MySQL', 'HTML', 'JavaScript', 'CSS', 'ReactNative', 'ReactJS', 'AngularJS', 'Angular']",1
247,440,"['ASP.NET', 'VisualBasic.net']",3
248,441,"['JavaScript', 'ReactJS', 'VueJS', 'Angular']",3
249,442,"['Git', 'JavaScript', 'Node.js', 'ReactJS']",3
250,444,"['Excel', 'Outlook', 'Project', 'Word', 'AutoCAD']",2
251,449,['SAP'],3
252,450,"['ASP.NET', 'C#']",3
253,451,"['Excel', 'Outlook', 'PowerPoint', 'Word']",2
254,452,"['Excel', 'Outlook', 'PowerPoint', 'Word']",2
255,454,"['Windows10', 'ASP.NET', 'C#', 'Java', 'MSSQL']",3
256,455,"['Git', 'Java', 'Spring', 'JavaScript']",3
257,456,"['C#', 'Python']",3
258,461,"['Windows8', 'Excel', 'Outlook', 'PowerPoint', 'Word', '中文打字20~50', '英文打字20~50']",2
259,462,['SAP'],3
260,463,"['ASP.NET', 'C#']",3
261,466,"['Excel', 'Outlook', 'PowerPoint', 'Word']",2
262,468,"['Github', 'Git', 'Java', 'PHP', 'Python', 'MSSQL', 'MySQL', 'HTML', 'JavaScript', 'CSS', 'ReactNative', 'ReactJS', 'AngularJS', 'Angular']",1
263,471,"['ASP.NET', 'VisualBasic.net']",3
264,472,"['JavaScript', 'ReactJS', 'VueJS', 'Angular']",3
265,473,"['Git', 'JavaScript', 'Node.js', 'ReactJS']",3
266,475,"['Excel', 'Outlook', 'Project', 'Word', 'AutoCAD']",2
267,480,['SAP'],3
268,481,"['ASP.NET', 'C#']",3
269,482,"['Excel', 'Outlook', 'PowerPoint', 'Word']",2
270,483,"['Excel', 'Outlook', 'PowerPoint', 'Word']",2
271,485,"['Windows10', 'ASP.NET', 'C#', 'Java', 'MSSQL']",3
272,486,"['Git', 'Java', 'Spring', 'JavaScript']",3
273,487,"['C#', 'Python']",3
274,492,"['Windows8', 'Excel', 'Outlook', 'PowerPoint', 'Word', '中文打字20~50', '英文打字20~50']",2
275,493,['SAP'],3
276,494,"['ASP.NET', 'C#']",3
277,497,"['Excel', 'Outlook', 'PowerPoint', 'Word']",2
278,499,"['Github', 'Git', 'Java', 'PHP', 'Python', 'MSSQL', 'MySQL', 'HTML', 'JavaScript', 'CSS', 'ReactNative', 'ReactJS', 'AngularJS', 'Angular']",1
279,502,"['ASP.NET', 'VisualBasic.net']",3
280,503,"['JavaScript', 'ReactJS', 'VueJS', 'Angular']",3
281,504,"['Git', 'JavaScript', 'Node.js', 'ReactJS']",3
282,506,"['Excel', 'Outlook', 'Project', 'Word', 'AutoCAD']",2
283,511,['SAP'],3
284,512,"['ASP.NET', 'C#']",3
285,513,"['Excel', 'Outlook', 'PowerPoint', 'Word']",2
286,514,"['Excel', 'Outlook', 'PowerPoint', 'Word']",2
287,516,"['Windows10', 'ASP.NET', 'C#', 'Java', 'MSSQL']",3
288,517,"['Git', 'Java', 'Spring', 'JavaScript']",3
289,518,"['C#', 'Python']",3
290,523,"['Windows8', 'Excel', 'Outlook', 'PowerPoint', 'Word', '中文打字20~50', '英文打字20~50']",2
291,524,['SAP'],3
292,525,"['ASP.NET', 'C#']",3
293,528,"['Excel', 'Outlook', 'PowerPoint', 'Word']",2
294,530,"['Github', 'Git', 'Java', 'PHP', 'Python', 'MSSQL', 'MySQL', 'HTML', 'JavaScript', 'CSS', 'ReactNative', 'ReactJS', 'AngularJS', 'Angular']",1
295,533,"['ASP.NET', 'VisualBasic.net']",3
296,534,"['JavaScript', 'ReactJS', 'VueJS', 'Angular']",3
297,535,"['Git', 'JavaScript', 'Node.js', 'ReactJS']",3
298,537,"['Excel', 'Outlook', 'Project', 'Word', 'AutoCAD']",2
299,542,['SAP'],3
300,543,"['ASP.NET', 'C#']",3
301,544,"['Excel', 'Outlook', 'PowerPoint', 'Word']",2
302,545,"['Excel', 'Outlook', 'PowerPoint', 'Word']",2
303,547,"['Windows10', 'ASP.NET', 'C#', 'Java', 'MSSQL']",3
304,548,"['Git', 'Java', 'Spring', 'JavaScript']",3
305,549,"['C#', 'Python']",3
306,554,"['Windows8', 'Excel', 'Outlook', 'PowerPoint', 'Word', '中文打字20~50', '英文打字20~50']",2
307,555,['SAP'],3
308,556,"['ASP.NET', 'C#']",3
309,559,"['Excel', 'Outlook', 'PowerPoint', 'Word']",2
310,561,"['Github', 'Git', 'Java', 'PHP', 'Python', 'MSSQL', 'MySQL', 'HTML', 'JavaScript', 'CSS', 'ReactNative', 'ReactJS', 'AngularJS', 'Angular']",1
311,564,"['ASP.NET', 'VisualBasic.net']",3
312,565,"['JavaScript', 'ReactJS', 'VueJS', 'Angular']",3
313,566,"['Git', 'JavaScript', 'Node.js', 'ReactJS']",3
314,568,"['Excel', 'Outlook', 'Project', 'Word', 'AutoCAD']",2
315,573,['SAP'],3
316,574,"['ASP.NET', 'C#']",3
317,575,"['Excel', 'Outlook', 'PowerPoint', 'Word']",2
318,576,"['Excel', 'Outlook', 'PowerPoint', 'Word']",2
319,578,"['Windows10', 'ASP.NET', 'C#', 'Java', 'MSSQL']",3
320,579,"['Git', 'Java', 'Spring', 'JavaScript']",3
321,580,"['C#', 'Python']",3
322,585,"['Windows8', 'Excel', 'Outlook', 'PowerPoint', 'Word', '中文打字20~50', '英文打字20~50']",2
323,586,['SAP'],3
324,587,"['HTML', 'JavaScript', 'jQuery', 'CSS', 'ReactJS']",1
325,588,"['MacOS', 'AJAX', 'PHP', 'MySQL', 'HTML', 'JavaScript', 'CSS', 'Node.js', 'VueJS']",1
326,589,['MES'],3
327,590,"['ASP.NET', 'C#', 'Java', 'MSSQL', 'HTML', 'JavaScript', 'jQuery', 'CSS']",1
328,593,"['C', 'C#', 'C++', 'MFC']",4
329,594,"['Linux', 'Mac/Macintosh', 'Windows7', 'Android', 'iOS']",3
330,595,"['Linux', 'C', 'C++']",4
331,596,"['Linux', 'MCU', 'C', 'C++', 'Java']",4
332,601,"['Linux', 'MSSQL', 'MySQL']",0
333,602,['Python'],3
334,603,"['ASP.NET', 'C#']",3
335,606,"['SystemsAnalysis', 'SystemsAnalyst', 'MSSQL', 'Oracle', 'PL/SQL', 'MRP', 'OracleERP', 'SAP']",3
336,607,"['C#', 'HTML', 'JavaScript', 'jQuery', 'CSS']",1
337,608,"['HTML', 'JavaScript', 'CSS']",1
338,609,"['SystemsAnalysis', 'SystemsAnalyst', 'UML', 'Java', 'AxureRP']",3
339,610,['AWS'],3
340,613,"['SystemsAnalysis', 'Excel', 'PowerPoint', 'Project', 'Word', 'Xmind']",2
341,616,['AxureRP'],3
342,617,"['C', 'Python']",4
343,619,"['SystemsAnalysis', 'SystemsAnalyst', 'UML', 'Java', 'Xmind', 'Sketch', 'AxureRP']",3
344,630,"['ASP.NET', 'C#']",3
345,631,"['Linux', 'Java', 'Spring']",3
346,634,"['ASP.NET', 'C#']",3
347,637,"['SystemsAnalysis', 'SystemsAnalyst', 'MSSQL', 'Oracle', 'PL/SQL', 'MRP', 'OracleERP', 'SAP']",3
348,638,"['C#', 'HTML', 'JavaScript', 'jQuery', 'CSS']",1
349,639,"['HTML', 'JavaScript', 'CSS']",1
350,640,"['SystemsAnalysis', 'SystemsAnalyst', 'UML', 'Java', 'AxureRP']",3
351,641,['AWS'],3
352,644,"['SystemsAnalysis', 'Excel', 'PowerPoint', 'Project', 'Word', 'Xmind']",2
353,647,['AxureRP'],3
354,648,"['C', 'Python']",4
355,650,"['SystemsAnalysis', 'SystemsAnalyst', 'UML', 'Java', 'Xmind', 'Sketch', 'AxureRP']",3
356,661,"['ASP.NET', 'C#']",3
357,662,"['Linux', 'Java', 'Spring']",3
358,665,"['ASP.NET', 'C#']",3
359,668,"['SystemsAnalysis', 'SystemsAnalyst', 'MSSQL', 'Oracle', 'PL/SQL', 'MRP', 'OracleERP', 'SAP']",3
360,669,"['C#', 'HTML', 'JavaScript', 'jQuery', 'CSS']",1
361,670,"['HTML', 'JavaScript', 'CSS']",1
362,671,"['SystemsAnalysis', 'SystemsAnalyst', 'UML', 'Java', 'AxureRP']",3
363,672,['AWS'],3
364,675,"['SystemsAnalysis', 'Excel', 'PowerPoint', 'Project', 'Word', 'Xmind']",2
365,678,['AxureRP'],3
366,679,"['C', 'Python']",4
367,681,"['SystemsAnalysis', 'SystemsAnalyst', 'UML', 'Java', 'Xmind', 'Sketch', 'AxureRP']",3
368,692,"['ASP.NET', 'C#']",3
369,693,"['Linux', 'Java', 'Spring']",3
370,696,"['ASP.NET', 'C#']",3
371,699,"['SystemsAnalysis', 'SystemsAnalyst', 'MSSQL', 'Oracle', 'PL/SQL', 'MRP', 'OracleERP', 'SAP']",3
372,700,"['C#', 'HTML', 'JavaScript', 'jQuery', 'CSS']",1
373,701,"['HTML', 'JavaScript', 'CSS']",1
374,702,"['SystemsAnalysis', 'SystemsAnalyst', 'UML', 'Java', 'AxureRP']",3
375,703,['AWS'],3
376,706,"['SystemsAnalysis', 'Excel', 'PowerPoint', 'Project', 'Word', 'Xmind']",2
377,709,['AxureRP'],3
378,710,"['C', 'Python']",4
379,712,"['SystemsAnalysis', 'SystemsAnalyst', 'UML', 'Java', 'Xmind', 'Sketch', 'AxureRP']",3
380,723,"['ASP.NET', 'C#']",3
381,724,"['Linux', 'Java', 'Spring']",3
