,序號,薪水,學歷要求
1098,1098,50000,專科
1122,1122,45000,大學
1125,1125,34000,大學
1126,1126,45000,大學
1127,1127,46500,大學
1136,1136,45000,大學
1137,1137,45000,大學
1138,1138,45000,大學
1139,1139,45000,大學
1143,1143,31000,專科
1146,1146,40000,專科
1150,1150,44000,大學
1159,1159,31000,大學
1160,1160,52500,專科
1162,1162,47500,不拘
1164,1164,80000,大學
1167,1167,60000,不拘
1173,1173,62500,大學
1174,1174,114000,大學
1175,1175,58000,專科
1177,1177,45000,專科
1179,1179,70000,大學
1180,1180,80000,碩士
1190,1190,75000,不拘
1191,1191,65000,不拘
1192,1192,60000,不拘
1193,1193,57500,不拘
1194,1194,50000,大學
1195,1195,52500,大學
1197,1197,90000,不拘
1198,1198,92307,大學
1199,1199,50000,大學
1200,1200,65000,大學
1203,1203,48000,大學
1212,1212,32000,大學
1226,1226,40000,大學
1236,1236,40500,大學
1242,1242,32000,大學
1248,1248,50000,大學
1249,1249,50000,大學
1260,1260,60000,大學
1271,1271,55000,專科
1276,1276,38500,大學
1284,1284,65000,大學
1286,1286,50000,專科
1291,1291,63328,大學
1301,1301,55000,專科
1306,1306,38500,大學
1314,1314,65000,大學
1316,1316,50000,專科
1321,1321,63328,大學
1331,1331,55000,專科
1336,1336,38500,大學
1344,1344,65000,大學
1346,1346,50000,專科
1351,1351,63328,大學
1366,1366,80000,大學
1374,1374,77500,大學
1377,1377,40500,大學
1380,1380,60000,大學
1401,1401,60000,大學
1408,1408,37625,專科
1413,1413,85000,大學
1414,1414,40000,大學
1415,1415,51500,大學
1418,1418,150000,碩士
1422,1422,33500,大學
1423,1423,50000,專科
1426,1426,50000,專科
1429,1429,38500,專科
1430,1430,50000,大學
1431,1431,55000,專科
1432,1432,115384,大學
1433,1433,47500,專科
1434,1434,45000,專科
1435,1435,37000,專科
1436,1436,100000,碩士
1437,1437,85000,大學
1438,1438,46000,專科
1440,1440,100000,碩士
1441,1441,100000,大學
1442,1442,40000,大學
1443,1443,45000,專科
1445,1445,40000,專科
1448,1448,38000,專科
1450,1450,65000,專科
1451,1451,65000,專科
1452,1452,100000,不拘
1453,1453,55000,不拘
1454,1454,85000,不拘
1456,1456,30000,大學
1457,1457,55000,不拘
1458,1458,50000,大學
1459,1459,68500,碩士
1461,1461,40000,專科
1462,1462,65000,專科
1466,1466,72500,不拘
1469,1469,42000,大學
1473,1473,28000,專科
1475,1475,28000,大學
1476,1476,35000,大學
1477,1477,100000,大學
1478,1478,100000,大學
1479,1479,61000,高中
1480,1480,80000,高中
1481,1481,38500,高中
1482,1482,48500,不拘
1483,1483,85000,大學
1489,1489,55000,不拘
1490,1490,58000,不拘
1491,1491,65000,專科
1492,1492,65000,專科
1496,1496,72500,不拘
1499,1499,42000,大學
1503,1503,28000,專科
1505,1505,28000,大學
1506,1506,35000,大學
1507,1507,100000,大學
1508,1508,100000,大學
1509,1509,61000,高中
1510,1510,80000,高中
1511,1511,38500,高中
1512,1512,48500,不拘
1513,1513,85000,大學
1516,1516,45000,專科
1518,1518,45000,大學
1520,1520,39000,不拘
1521,1521,32000,大學
1524,1524,41500,大學
1525,1525,39000,大學
1527,1527,40000,大學
1529,1529,40000,大學
1530,1530,53500,大學
1541,1541,47500,大學
1542,1542,28625,大學
