,序號,薪水,學歷要求
21077,21098,60000,不拘
21078,21099,34000,不拘
21079,21100,47500,專科
21081,21102,45000,大學
21087,21108,75000,不拘
21088,21109,65000,不拘
21089,21110,60000,專科
21090,21111,42500,大學
21091,21112,33000,專科
21092,21113,35000,專科
21093,21114,80000,專科
21094,21115,55000,專科
21096,21117,52500,專科
21097,21118,61538,大學
21098,21119,61538,大學
21099,21120,84615,大學
21100,21121,61538,大學
21101,21122,61538,大學
21102,21123,69230,大學
21103,21124,52500,高中
21105,21126,42500,不拘
21107,21128,60000,不拘
21108,21129,34000,不拘
21109,21130,47500,專科
21111,21132,45000,大學
21117,21138,75000,不拘
21118,21139,65000,不拘
21119,21140,60000,專科
21120,21141,42500,大學
21121,21142,33000,專科
21122,21143,35000,專科
21123,21144,80000,專科
21124,21145,55000,專科
21126,21147,52500,專科
21127,21148,61538,大學
21128,21149,61538,大學
21129,21150,84615,大學
21130,21151,61538,大學
21131,21152,61538,大學
21132,21153,69230,大學
21133,21154,52500,高中
21135,21156,42500,不拘
21137,21158,60000,不拘
21138,21159,34000,不拘
21139,21160,47500,專科
21141,21162,45000,大學
21147,21168,75000,不拘
21148,21169,65000,不拘
21149,21170,60000,專科
21150,21171,42500,大學
21151,21172,25250,專科
21152,21173,25250,專科
21155,21176,50000,大學
21162,21183,40000,專科
21163,21184,43500,專科
21164,21185,47500,專科
21165,21186,62500,專科
21166,21187,50000,高中
21167,21188,41500,專科
21169,21190,50000,碩士
21170,21191,31320,專科
21171,21192,29580,專科
21172,21193,45000,專科
21175,21196,32000,不拘
21176,21197,36500,大學
21177,21198,45000,碩士
21178,21199,52500,碩士
21179,21200,50000,專科
21180,21201,35000,大學
21181,21202,50000,大學
21182,21203,50000,大學
21183,21204,50000,大學
21184,21205,31320,大學
21185,21206,50000,大學
21186,21207,50000,大學
21187,21208,50000,大學
21188,21209,41000,大學
21189,21210,50000,大學
21190,21211,65000,大學
21193,21214,50000,大學
21195,21216,67307,大學
21196,21217,50000,高中
21197,21218,41500,專科
21199,21220,50000,碩士
21200,21221,31320,專科
21201,21222,29580,專科
21202,21223,45000,專科
21205,21226,32000,不拘
21206,21227,36500,大學
21207,21228,45000,碩士
21208,21229,52500,碩士
21209,21230,50000,專科
21210,21231,35000,大學
21211,21232,40000,大學
21212,21233,43500,大學
21213,21234,43500,大學
21214,21235,38000,大學
21219,21240,38000,大學
21220,21241,42000,不拘
21222,21243,41500,大學
21231,21252,50000,不拘
21232,21253,37500,大學
21234,21255,36000,大學
21235,21256,50000,大學
21236,21257,33500,大學
21241,21262,40000,大學
21242,21263,43500,大學
21243,21264,43500,大學
21244,21265,38000,大學
21249,21270,38000,大學
21250,21271,42000,不拘
21252,21273,41500,大學
21261,21282,50000,不拘
21262,21283,37500,大學
21264,21285,36000,大學
21265,21286,50000,大學
21266,21287,33500,大學
21271,21292,40000,大學
21272,21293,43500,大學
21273,21294,43500,大學
21274,21295,38000,大學
21279,21300,38000,大學
21280,21301,42000,不拘
21282,21303,41500,大學
21291,21312,50000,不拘
21292,21313,37500,大學
21294,21315,36000,大學
21295,21316,50000,大學
21296,21317,33500,大學
21301,21322,40000,大學
21302,21323,43500,大學
21303,21324,43500,大學
21304,21325,38000,大學
21309,21330,38000,大學
21310,21331,42000,不拘
21312,21333,41500,大學
21321,21342,50000,不拘
21322,21343,37500,大學
21324,21345,36000,大學
21325,21346,50000,大學
21326,21347,33500,大學
21331,21352,40000,大學
21332,21353,43500,大學
21333,21354,43500,大學
21334,21355,38000,大學
21339,21360,38000,大學
21340,21361,42000,不拘
21342,21363,41500,大學
21351,21372,50000,不拘
21352,21373,37500,大學
21354,21375,36000,大學
21355,21376,50000,大學
21356,21377,33500,大學
21361,21382,40000,大學
21362,21383,43500,大學
21363,21384,43500,大學
21364,21385,38000,大學
21369,21390,38000,大學
21370,21391,42000,不拘
21372,21393,41500,大學
21381,21402,50000,不拘
21382,21403,37500,大學
21384,21405,36000,大學
21385,21406,50000,大學
21386,21407,33500,大學
21391,21412,40000,大學
21392,21413,43500,大學
21393,21414,43500,大學
21394,21415,38000,大學
21399,21420,38000,大學
21400,21421,42000,不拘
21402,21423,41500,大學
21411,21432,50000,不拘
21412,21433,37500,大學
21414,21435,36000,大學
21415,21436,50000,大學
21416,21437,33500,大學
21421,21442,40000,大學
21422,21443,43500,大學
21423,21444,43500,大學
21424,21445,38000,大學
21429,21450,38000,大學
21430,21451,42000,不拘
21432,21453,41500,大學
21441,21462,50000,不拘
21442,21463,37500,大學
21444,21465,36000,大學
21445,21466,50000,大學
21446,21467,33500,大學
21451,21472,40000,大學
21452,21473,43500,大學
21453,21474,43500,大學
21454,21475,38000,大學
21459,21480,38000,大學
21460,21481,42000,不拘
21462,21483,41500,大學
21471,21492,50000,不拘
21472,21493,37500,大學
21474,21495,36000,大學
21475,21496,50000,大學
21476,21497,33500,大學
21481,21502,40000,大學
21482,21503,43500,大學
21483,21504,43500,大學
21484,21505,38000,大學
21487,21508,55000,專科
21488,21509,28000,大學
21489,21510,55000,不拘
21492,21513,28000,大學
21493,21514,27000,專科
21494,21515,32500,專科
21496,21517,70000,專科
21497,21518,47500,專科
21498,21519,40000,大學
21499,21520,35000,不拘
21501,21522,48500,大學
21502,21523,49000,大學
21503,21524,45850,大學
21507,21528,32000,專科
21509,21530,36000,專科
21510,21531,38000,大學
21511,21532,47500,專科
21512,21533,105000,大學
21513,21534,55000,大學
21514,21535,35000,不拘
21515,21536,35125,不拘
21517,21538,55000,專科
21518,21539,28000,大學
21519,21540,55000,不拘
21522,21543,28000,大學
21523,21544,27000,專科
21524,21545,32500,專科
21526,21547,70000,專科
21527,21548,47500,專科
21528,21549,40000,大學
21529,21550,35000,不拘
21531,21552,48500,大學
21532,21553,49000,大學
21533,21554,45850,大學
21537,21558,32000,專科
21539,21560,36000,專科
21540,21561,38000,大學
21541,21562,47500,專科
21542,21563,105000,大學
21543,21564,55000,大學
21544,21565,35000,不拘
21545,21566,35125,不拘
21547,21568,55000,專科
21548,21569,28000,大學
21549,21570,55000,不拘
21552,21573,28000,大學
21553,21574,27000,專科
21554,21575,32500,專科
21556,21577,70000,專科
21557,21578,47500,專科
21558,21579,40000,大學
21559,21580,35000,不拘
21561,21582,48500,大學
21562,21583,49000,大學
21563,21584,45850,大學
21567,21588,32000,專科
21569,21590,36000,專科
21570,21591,38000,大學
21571,21592,47500,專科
21572,21593,105000,大學
21573,21594,55000,大學
21574,21595,35000,不拘
21575,21596,35125,不拘
21577,21598,55000,專科
21578,21599,28000,大學
21579,21600,55000,不拘
21582,21603,46000,大學
21583,21604,46000,大學
21591,21612,45925,碩士
21592,21613,45925,碩士
21594,21615,70000,大學
21595,21616,35000,大學
21596,21617,46000,大學
21597,21618,111538,博士
21598,21619,88461,專科
21600,21621,47500,大學
21602,21623,46000,大學
21603,21624,46000,大學
21604,21625,46000,大學
21605,21626,103846,大學
21607,21628,103846,專科
21608,21629,46000,大學
21609,21630,46000,大學
21610,21631,47500,大學
21612,21633,46000,大學
21613,21634,46000,大學
21621,21642,45925,碩士
21622,21643,45925,碩士
21624,21645,70000,大學
21625,21646,35000,大學
21626,21647,46000,大學
21627,21648,111538,博士
21628,21649,88461,專科
21630,21651,47500,大學
21632,21653,46000,大學
21633,21654,46000,大學
21634,21655,46000,大學
21635,21656,103846,大學
21637,21658,42307,大學
21638,21659,42500,專科
21640,21661,42500,專科
21641,21662,40000,不拘
21644,21665,59000,碩士
21646,21667,49500,大學
21649,21670,38500,專科
21650,21671,46000,大學
21651,21672,40000,大學
21653,21674,50000,大學
21654,21675,40000,大學
21656,21677,30000,大學
21657,21678,30000,大學
21658,21679,47500,專科
21660,21681,30000,大學
21661,21682,30000,大學
21662,21683,60000,大學
21663,21684,50000,大學
21664,21685,60000,大學
21665,21686,50000,大學
21666,21687,62500,專科
21667,21688,33500,大學
21668,21689,40000,大學
21669,21690,47500,大學
21670,21692,75000,大學
21672,21694,45000,大學
21674,21696,42500,大學
21675,21697,36500,不拘
21676,21698,45000,專科
21678,21700,38500,專科
21679,21701,46000,大學
21680,21702,40000,大學
21682,21704,50000,大學
21683,21705,40000,大學
21685,21707,30000,大學
21686,21708,30000,大學
21687,21709,47500,專科
21689,21711,30000,大學
21690,21712,30000,大學
21691,21713,60000,大學
21692,21714,50000,大學
21693,21715,60000,大學
21694,21716,50000,大學
21695,21717,31250,大學
21697,21719,35250,大學
21698,21720,40000,專科
21700,21722,47500,大學
21703,21725,41500,專科
21704,21726,45500,高中
21705,21727,50000,大學
21707,21729,45000,高中
21709,21731,30000,大學
21710,21732,42500,專科
21713,21735,38500,專科
21714,21736,60000,大學
21715,21737,35500,大學
21716,21738,35000,大學
21717,21739,40000,專科
21718,21740,45000,專科
21719,21741,39000,專科
21721,21743,37000,大學
21722,21744,29580,大學
21723,21745,37000,大學
21724,21746,37000,大學
21725,21747,37000,大學
21726,21748,37000,大學
21727,21749,37000,大學
21729,21751,34000,大學
21733,21755,35000,大學
21737,21759,55000,大學
21738,21760,30000,專科
21739,21761,70000,大學
21740,21762,60000,碩士
21741,21763,35000,專科
21742,21764,70000,大學
21743,21765,65000,大學
21744,21766,40000,大學
21745,21767,50000,大學
21746,21768,80000,大學
21747,21769,80000,碩士
21748,21770,37500,大學
21749,21771,47500,專科
21751,21773,55000,專科
21752,21774,30000,不拘
21753,21775,47500,專科
21754,21776,47500,專科
21755,21777,65000,大學
21756,21778,39650,大學
21757,21779,35000,不拘
21758,21780,47500,大學
21759,21781,50000,專科
21760,21782,42500,專科
21761,21783,37500,高中
21762,21784,36500,大學
21763,21785,26000,高中
21765,21787,60000,大學
21766,21788,34500,專科
21767,21789,32500,大學
21768,21790,29500,專科
21769,21791,39000,專科
21770,21792,40000,專科
21772,21794,47500,專科
21773,21795,44000,大學
21774,21796,33000,專科
21775,21797,31500,大學
21780,21802,42500,大學
21781,21803,30125,大學
21782,21804,40000,專科
21783,21805,43500,大學
21785,21807,40000,專科
21786,21808,38000,專科
21787,21809,40000,專科
21788,21810,30000,專科
21790,21812,42500,大學
21791,21813,35000,專科
21800,21822,25250,大學
21804,21826,50800,專科
21805,21827,50800,專科
21807,21829,50000,大學
21809,21831,42500,專科
21810,21832,36000,專科
21812,21834,33000,不拘
21814,21836,50000,大學
21815,21837,42500,專科
21816,21838,37500,專科
21819,21841,52500,大學
21820,21842,40000,專科
21822,21844,45000,大學
21823,21845,40000,專科
21824,21846,31000,大學
21825,21847,41500,大學
21826,21848,57500,大學
21827,21849,37500,大學
21828,21850,45000,大學
21829,21851,35500,專科
21830,21852,32400,大學
21831,21853,41000,大學
21832,21854,41000,大學
21833,21855,52500,碩士
21834,21856,40000,大學
21835,21857,52250,大學
21836,21858,28500,大學
21838,21860,40000,不拘
21839,21861,40000,不拘
21840,21862,52500,不拘
21841,21863,52500,不拘
21842,21865,34150,大學
21843,21866,60000,大學
21846,21869,39000,不拘
21853,21876,37500,專科
21854,21877,38500,專科
21858,21881,35000,大學
21859,21882,32125,專科
21860,21883,40000,不拘
21861,21885,40000,不拘
21862,21886,52500,不拘
21863,21887,52500,不拘
21864,21888,42500,大學
21865,21889,35000,專科
21866,21890,38250,大學
21868,21892,75000,專科
21869,21893,52500,不拘
21870,21894,52500,不拘
21871,21895,40000,不拘
21872,21896,40000,不拘
21873,21898,40000,不拘
21874,21899,70000,大學
21876,21901,35000,大學
21878,21903,40000,專科
21879,21904,50000,大學
21880,21905,47500,大學
21881,21906,47500,大學
21882,21907,41750,專科
21883,21908,41750,專科
21884,21909,55000,大學
21885,21910,40000,不拘
21886,21911,52500,不拘
21887,21913,52500,不拘
21888,21914,40000,不拘
21889,21916,40000,不拘
21890,21917,52500,不拘
21891,21918,40000,大學
21892,21919,52500,不拘
21893,21921,40000,不拘
21894,21922,52500,不拘
21895,21923,52500,不拘
21897,21925,191400,大學
21899,21927,226200,專科
21900,21928,208800,專科
21901,21929,226200,專科
21902,21930,47500,專科
21903,21931,40000,不拘
21906,21934,87500,大學
21907,21935,125000,大學
21908,21936,90000,碩士
21909,21937,45000,大學
21919,21947,50000,碩士
21920,21948,70000,專科
21932,21960,34000,專科
21933,21961,40000,大學
21936,21964,33000,大學
21937,21965,28000,專科
21939,21967,60384,專科
21941,21969,52500,大學
21942,21970,85000,大學
21951,21979,60000,不拘
21952,21980,80000,不拘
21954,21982,45000,專科
21959,21987,100000,大學
21961,21989,60500,大學
21962,21990,60500,大學
21968,21996,40000,專科
21981,22009,60000,不拘
21982,22010,80000,不拘
21984,22012,45000,專科
21989,22017,100000,大學
21991,22019,60500,大學
21992,22020,60500,大學
21998,22026,40000,專科
22016,22044,55000,大學
22017,22045,60000,大學
22018,22046,76923,碩士
22019,22047,45000,大學
22021,22049,50000,大學
22022,22050,55000,大學
22024,22052,127500,大學
22026,22054,100000,大學
22029,22057,34000,專科
22030,22058,34800,專科
22034,22062,46500,大學
22039,22067,33321,大學
22046,22074,55000,大學
22047,22075,60000,大學
22048,22076,76923,碩士
22049,22077,45000,大學
22051,22079,50000,大學
22052,22080,55000,大學
22054,22082,127500,大學
22055,22083,40000,專科
22061,22089,75000,大學
22067,22095,48000,專科
22069,22097,76923,專科
22076,22104,45000,大學
22080,22108,45000,大學
22085,22113,40000,專科
22091,22119,75000,大學
22097,22125,28000,大學
22098,22126,50000,大學
22128,22156,50000,大學
22158,22186,55000,碩士
22159,22187,55000,碩士
22161,22189,130000,大學
22162,22190,135000,大學
22167,22195,135000,大學
22168,22196,84615,大學
22174,22202,43500,大學
22178,22206,50000,大學
22179,22207,37500,專科
22180,22208,35000,大學
22182,22210,65000,大學
22183,22211,47000,大學
22184,22212,60000,不拘
22186,22214,47000,大學
22199,22227,47000,專科
22200,22228,47000,大學
22201,22229,47000,大學
22204,22232,43500,大學
22208,22236,50000,大學
22209,22237,37500,專科
22210,22238,35000,大學
22212,22240,65000,大學
22213,22241,47000,大學
22214,22242,60000,不拘
22216,22244,47000,大學
22229,22257,47000,專科
22230,22258,47000,大學
22231,22259,47000,大學
22234,22262,43500,大學
22238,22266,50000,大學
22239,22267,37500,專科
22240,22268,35000,大學
22242,22270,65000,大學
22243,22271,47000,大學
22244,22272,60000,不拘
22246,22274,47000,大學
22259,22287,47000,專科
22260,22288,47000,大學
22261,22289,47000,大學
22264,22292,43500,大學
22268,22296,50000,大學
22269,22297,37500,專科
22270,22298,35000,大學
22272,22300,65000,大學
22273,22301,47000,大學
22274,22302,60000,不拘
22276,22304,47000,大學
22279,22307,70000,大學
22283,22311,46000,碩士
22285,22313,80000,大學
22299,22327,60000,大學
22309,22337,70000,大學
22313,22341,46000,碩士
22315,22343,80000,大學
22329,22357,60000,大學
22339,22367,70000,大學
22343,22371,46000,碩士
22345,22373,80000,大學
22359,22387,60000,大學
22369,22397,70000,大學
22373,22401,46000,碩士
22375,22403,80000,大學
22389,22417,60000,大學
22399,22427,70000,大學
22403,22431,46000,碩士
22405,22433,80000,大學
22419,22447,60000,大學
22429,22457,70000,大學
22433,22461,46000,碩士
22435,22463,80000,大學
22449,22477,60000,大學
22459,22487,70000,大學
22463,22491,46000,碩士
22465,22493,80000,大學
22479,22507,60000,大學
22489,22517,70000,大學
22493,22521,46000,碩士
22495,22523,80000,大學
22509,22537,60000,大學
22519,22547,70000,大學
22523,22551,46000,碩士
22525,22553,80000,大學
22539,22567,60000,大學
22549,22577,70000,大學
22553,22581,46000,碩士
22555,22583,80000,大學
22569,22597,60000,大學
22579,22607,70000,大學
22583,22611,46000,碩士
22585,22613,80000,大學
22599,22627,60000,大學
22609,22637,70000,大學
22613,22641,46000,碩士
22615,22643,80000,大學
22629,22657,60000,大學
22639,22667,70000,大學
22643,22671,46000,碩士
22645,22673,80000,大學
22659,22687,60000,大學
22674,22702,41500,大學
22677,22705,62500,碩士
22683,22711,70000,大學
22696,22724,69230,專科
22704,22732,41500,大學
22707,22735,62500,碩士
22713,22741,70000,大學
22726,22754,69230,專科
22734,22762,41500,大學
22737,22765,62500,碩士
22743,22771,70000,大學
22756,22784,69230,專科
22764,22792,41500,大學
22767,22795,62500,碩士
22773,22801,70000,大學
22775,22803,100000,大學
22777,22805,69230,大學
22779,22807,32500,專科
22780,22808,43500,大學
22781,22809,82500,碩士
22786,22814,40000,不拘
22788,22816,60000,大學
22789,22817,28800,碩士
22791,22819,55000,大學
22794,22822,84615,大學
22795,22823,84615,大學
22796,22824,84615,大學
22797,22825,61538,專科
22798,22826,84615,大學
22799,22827,84615,大學
22800,22828,84615,大學
22801,22829,84615,大學
22802,22830,84615,大學
22803,22831,84615,大學
22804,22832,84615,大學
22805,22833,84615,大學
22810,22838,43500,大學
22811,22839,82500,碩士
22816,22844,40000,不拘
22818,22846,60000,大學
22819,22847,28800,碩士
22821,22849,55000,大學
22824,22852,84615,大學
22825,22853,84615,大學
22826,22854,84615,大學
22827,22855,61538,專科
22828,22856,84615,大學
22829,22857,84615,大學
22830,22858,84615,大學
22831,22859,84615,大學
22832,22860,84615,大學
22833,22861,84615,大學
22834,22862,84615,大學
22835,22863,84615,大學
22840,22868,43500,大學
22843,22871,40000,專科
22844,22872,45000,大學
22845,22873,40000,不拘
22847,22875,60000,大學
22852,22880,50000,大學
22866,22894,40000,大學
22867,22895,33000,專科
22870,22898,52500,專科
22873,22901,40000,專科
22874,22902,45000,大學
22875,22903,40000,不拘
22877,22905,60000,大學
22882,22910,50000,大學
22896,22924,40000,大學
22897,22925,33000,專科
22900,22928,52500,專科
22903,22931,40000,專科
22904,22932,45000,大學
22905,22933,40000,不拘
22907,22935,60000,大學
22912,22940,50000,大學
22926,22954,40000,大學
22927,22955,33000,專科
22930,22958,52500,專科
22933,22961,40000,專科
22934,22962,45000,大學
22935,22963,40000,不拘
22937,22965,60000,大學
22942,22970,50000,大學
22956,22984,40000,大學
22957,22985,33000,專科
22960,22988,52500,專科
22963,22991,40000,專科
22964,22992,45000,大學
22965,22993,40000,不拘
22967,22995,60000,大學
22972,23000,50000,大學
22986,23014,40000,大學
22991,23019,50500,大學
22994,23022,35000,專科
23005,23033,35000,大學
23007,23035,35000,大學
23008,23036,35000,大學
23019,23047,35000,大學
23021,23049,35000,大學
23026,23054,55000,大學
23036,23064,35000,大學
23038,23066,35000,大學
23039,23067,35000,大學
23050,23078,35000,大學
23052,23080,35000,大學
23057,23085,55000,大學
23067,23095,35000,大學
23069,23097,35000,大學
23070,23098,35000,大學
23081,23109,35000,大學
23083,23111,35000,大學
23088,23116,55000,大學
23098,23126,35000,大學
23100,23128,35000,大學
23101,23129,35000,大學
23112,23140,35000,大學
23114,23142,35000,大學
23119,23147,55000,大學
23123,23151,60000,專科
23129,23157,33000,專科
23133,23161,47500,大學
23135,23163,32625,專科
23146,23174,77500,碩士
23148,23176,47500,大學
23159,23187,33000,專科
23163,23191,47500,大學
23165,23193,32625,專科
23176,23204,77500,碩士
23178,23206,47500,大學
23189,23217,33000,專科
23193,23221,47500,大學
23195,23223,32625,專科
23206,23234,77500,碩士
23208,23236,47500,大學
23219,23247,33000,專科
23223,23251,47500,大學
23225,23253,32625,專科
23236,23264,77500,碩士
23238,23266,47500,大學
23249,23277,33000,專科
23253,23281,47500,大學
23255,23283,32625,專科
23266,23294,77500,碩士
23268,23296,47500,大學
23279,23307,33000,專科
23283,23311,47500,大學
23285,23313,32625,專科
23296,23324,77500,碩士
23298,23326,47500,大學
23309,23337,33000,專科
23313,23341,47500,大學
23315,23343,32625,專科
23326,23354,77500,碩士
23328,23356,47500,大學
23331,23359,50000,大學
23338,23366,55000,大學
23361,23389,50000,大學
23368,23396,55000,大學
23391,23419,50000,大學
23398,23426,55000,大學
23421,23449,50000,大學
23428,23456,55000,大學
23448,23476,43000,大學
23449,23477,47500,大學
23452,23480,35000,專科
23456,23484,48000,碩士
23465,23493,65000,專科
23473,23501,41500,專科
23475,23503,48000,大學
23476,23504,45000,大學
23478,23506,57500,專科
23482,23510,57500,專科
23483,23511,45000,大學
23495,23523,65000,專科
23519,23547,80000,不拘
23520,23548,50000,大學
23522,23550,40000,大學
23549,23577,80000,不拘
23550,23578,50000,大學
23552,23580,40000,大學
23561,23589,63461,大學
23562,23590,45000,專科
23563,23591,28500,專科
23564,23592,35000,專科
23575,23603,34000,專科
23587,23615,40000,碩士
23596,23624,31000,專科
23597,23625,47500,專科
23598,23626,42500,專科
23600,23628,40000,不拘
23602,23630,51000,專科
23603,23631,33000,專科
23605,23633,33500,專科
23606,23634,40000,不拘
23610,23638,33000,大學
23612,23640,70000,大學
23614,23642,64500,大學
23615,23643,70000,碩士
23616,23644,77500,大學
23617,23645,77500,碩士
23621,23649,70000,碩士
23622,23650,70000,碩士
23623,23651,70000,碩士
23624,23652,70000,碩士
23628,23656,65000,碩士
23629,23657,70000,碩士
23631,23659,38000,大學
23632,23660,77500,碩士
23633,23661,70000,碩士
23636,23664,40000,不拘
23638,23666,72500,碩士
23639,23667,70000,大學
23642,23670,64500,大學
23644,23672,64500,大學
23645,23673,70000,碩士
23646,23674,77500,大學
23647,23675,77500,碩士
23651,23679,70000,碩士
23652,23680,70000,碩士
23653,23681,70000,碩士
23654,23682,35000,高中
23655,23683,35000,高中
23659,23687,42500,高中
23660,23688,42500,高中
23670,23698,69230,專科
23672,23700,76923,專科
23677,23705,62500,大學
23681,23709,40000,高中
23687,23715,44750,大學
23689,23717,43000,專科
23692,23720,45000,專科
23704,23732,40000,不拘
23705,23733,47500,大學
23710,23738,33500,大學
23718,23746,38300,大學
23719,23747,35000,專科
23722,23750,45000,專科
23734,23762,40000,不拘
23735,23763,47500,大學
23740,23768,33500,大學
23754,23782,41500,高中
23784,23812,41500,高中
23814,23842,41500,高中
23844,23872,41500,高中
23874,23902,41500,高中
23884,23912,47500,大學
23885,23913,47500,大學
23886,23914,47500,大學
23898,23926,40500,大學
23905,23933,33000,大學
23906,23934,38000,大學
23909,23937,39500,大學
23913,23941,50000,高中
23915,23943,60000,大學
23916,23944,45000,專科
23926,23954,40000,大學
23927,23955,65000,大學
23928,23956,40000,大學
23929,23957,40000,大學
23930,23958,33000,專科
23931,23959,55000,專科
23935,23963,30000,專科
23941,23969,35000,專科
23943,23971,60000,大學
23949,23977,50000,大學
23951,23979,50000,大學
23971,23999,35000,專科
23973,24001,60000,大學
23979,24007,50000,大學
23981,24009,50000,大學
24001,24029,35000,專科
24003,24031,60000,大學
24009,24037,50000,大學
24011,24039,50000,大學
24031,24059,35000,專科
24033,24061,60000,大學
24039,24067,50000,大學
24041,24069,50000,大學
24061,24089,35000,專科
24063,24091,60000,大學
24069,24097,50000,大學
24071,24099,50000,大學
24091,24119,35000,專科
24093,24121,60000,大學
24099,24127,50000,大學
24101,24129,50000,大學
24121,24149,35000,專科
24123,24151,60000,大學
24129,24157,50000,大學
24131,24159,50000,大學
24151,24179,35000,專科
24153,24181,60000,大學
24159,24187,50000,大學
24161,24189,50000,大學
24181,24209,35000,專科
24183,24211,60000,大學
24189,24217,50000,大學
24191,24219,50000,大學
24211,24239,35000,專科
24213,24241,60000,大學
24219,24247,50000,大學
24221,24249,50000,大學
24241,24269,35000,專科
24243,24271,60000,大學
24249,24277,50000,大學
24251,24279,50000,大學
24271,24299,35000,專科
24273,24301,60000,大學
24279,24307,50000,大學
24281,24309,50000,大學
24301,24329,35000,專科
24303,24331,60000,大學
24309,24337,50000,大學
24311,24339,50000,大學
24331,24359,35000,專科
24333,24361,60000,大學
24339,24367,50000,大學
24341,24369,50000,大學
24361,24389,35000,專科
24363,24391,60000,大學
24369,24397,50000,大學
24371,24399,50000,大學
24391,24419,35000,專科
24393,24421,60000,大學
24399,24427,50000,大學
24401,24429,50000,大學
24421,24449,35000,專科
24423,24451,60000,大學
24429,24457,50000,大學
24431,24459,50000,大學
24460,24488,45000,大學
24490,24518,45000,大學
24520,24548,45000,大學
24550,24578,45000,大學
24580,24608,45000,大學
24610,24638,45000,大學
24640,24668,45000,大學
24670,24698,45000,大學
24675,24703,48000,專科
24677,24705,105000,大學
24679,24707,45000,碩士
24681,24709,48000,大學
24684,24712,35000,專科
24685,24713,33000,專科
24694,24722,53000,大學
24698,24726,53000,大學
24699,24727,54500,大學
24700,24728,54500,大學
24705,24733,48000,專科
24707,24735,105000,大學
24709,24737,45000,碩士
24711,24739,48000,大學
24714,24742,35000,專科
24715,24743,33000,專科
24724,24752,53000,大學
24728,24756,53000,大學
24729,24757,54500,大學
24730,24758,54500,大學
24735,24763,48000,專科
24737,24765,105000,大學
24739,24767,45000,碩士
24741,24769,48000,大學
24744,24772,35000,專科
24745,24773,33000,專科
24751,24779,61000,碩士
24752,24780,38000,專科
24758,24786,68500,大學
24759,24787,67000,大學
24760,24788,68500,大學
24761,24789,68500,大學
24774,24802,50000,專科
24787,24815,45000,專科
24806,24834,33000,大學
24817,24845,45000,專科
24840,24868,40000,不拘
24844,24872,40000,大學
24851,24879,75000,大學
24854,24882,42625,大學
24857,24885,42625,碩士
24860,24888,42625,大學
24861,24889,42625,大學
24862,24890,42625,大學
24870,24898,40000,不拘
24874,24902,40000,大學
24881,24909,75000,大學
24884,24912,42625,大學
24887,24915,42625,碩士
24890,24918,42625,大學
24891,24919,42625,大學
24892,24920,42625,大學
24900,24928,40000,不拘
24904,24932,40000,大學
24911,24939,55000,不拘
24912,24940,40000,不拘
24913,24941,36500,大學
24914,24942,35000,專科
24921,24949,44000,專科
24924,24952,30000,專科
24925,24953,30000,專科
24927,24955,39500,碩士
24929,24957,35000,大學
24930,24958,51500,大學
24932,24960,38000,大學
24933,24961,42500,專科
24935,24963,52500,大學
24936,24964,50000,專科
24937,24965,50000,專科
24941,24969,90000,大學
24945,24973,43500,大學
24946,24974,36000,大學
24947,24975,45000,不拘
24948,24976,28000,大學
24954,24982,36000,專科
24955,24983,53500,專科
24960,24988,40000,大學
24961,24989,45000,大學
24962,24990,55000,專科
24964,24992,52500,大學
24973,25001,36500,高中
24974,25002,47500,大學
24975,25003,50000,大學
24976,25004,40000,大學
24979,25007,42000,大學
24980,25008,42500,大學
24981,25009,42000,大學
24982,25010,33000,大學
24984,25012,45000,大學
24986,25014,35000,專科
24988,25016,42000,大學
24992,25020,55000,專科
24994,25022,52500,大學
25003,25031,36500,高中
25004,25032,47500,大學
25005,25033,50000,大學
25006,25034,40000,大學
25008,25036,70000,大學
25009,25037,86500,碩士
25011,25039,82000,大學
25012,25040,111000,碩士
25013,25041,36000,大學
25014,25042,32190,大學
25035,25063,49500,大學
25036,25064,38500,高中
25037,25065,55000,專科
25038,25066,50000,專科
25040,25068,36500,不拘
25041,25069,52500,大學
25043,25071,50000,大學
25045,25073,40000,不拘
25047,25075,35000,專科
25049,25077,42500,大學
25050,25078,55000,專科
25057,25085,88461,大學
25058,25086,60000,大學
25060,25088,65000,大學
25062,25090,41000,大學
25063,25091,49000,大學
25064,25092,40000,專科
25065,25093,45000,專科
25066,25094,42500,專科
25067,25095,40000,專科
25068,25096,40000,專科
25070,25098,40000,專科
25072,25100,25250,專科
25073,25101,45000,大學
25076,25104,35500,專科
25078,25106,47500,大學
25079,25107,42500,專科
25080,25108,45000,大學
25082,25110,40000,專科
25084,25112,35000,不拘
25085,25113,40000,不拘
25087,25115,57500,專科
25088,25116,40000,大學
25092,25120,30000,專科
25093,25121,30000,專科
25094,25122,30000,專科
25096,25124,35000,大學
25097,25125,45000,專科
25101,25129,36000,專科
25102,25130,45000,專科
25106,25134,40000,不拘
25121,25149,40000,不拘
25123,25151,40000,不拘
25124,25152,40000,不拘
25125,25153,40000,不拘
25126,25154,37500,不拘
25127,25155,80000,大學
25129,25157,35000,大學
25130,25158,35000,大學
25131,25159,40000,不拘
25132,25160,40000,不拘
25133,25161,40000,不拘
25134,25162,40000,不拘
25135,25163,40000,不拘
25136,25164,40000,不拘
25142,25170,40000,不拘
