,工作經歷,薪水
1127,5-10年,46500
1136,0-1年,45000
1137,0-1年,45000
1138,0-1年,45000
1139,1-3年,45000
1143,1-3年,31000
1146,1-3年,40000
1150,1-3年,44000
1159,0-1年,31000
1160,3-5年,52500
1162,1-3年,47500
1164,5-10年,80000
1167,3-5年,60000
1173,1-3年,62500
1174,10年以上,114000
1175,3-5年,58000
1177,0-1年,45000
1179,5-10年,70000
1180,5-10年,80000
1190,5-10年,75000
1191,1-3年,65000
1192,5-10年,60000
1193,3-5年,57500
1194,3-5年,50000
1195,0-1年,52500
1197,5-10年,90000
1198,3-5年,92307
1199,3-5年,50000
1200,3-5年,65000
1203,0-1年,48000
1212,1-3年,32000
1226,5-10年,40000
1236,3-5年,40500
1242,1-3年,32000
1248,1-3年,50000
1249,1-3年,50000
1260,5-10年,60000
1271,3-5年,55000
1276,0-1年,38500
1284,3-5年,65000
1286,0-1年,50000
1291,3-5年,63328
1301,3-5年,55000
1306,0-1年,38500
1314,3-5年,65000
1316,0-1年,50000
1321,3-5年,63328
1331,3-5年,55000
1336,0-1年,38500
1344,3-5年,65000
1346,0-1年,50000
1351,3-5年,63328
1366,0-1年,80000
1374,3-5年,77500
1377,0-1年,40500
1380,1-3年,60000
1401,3-5年,60000
1408,5-10年,37625
1413,3-5年,85000
1414,10年以上,40000
1415,0-1年,51500
1418,5-10年,150000
1422,1-3年,33500
1423,0-1年,50000
1426,5-10年,50000
1429,0-1年,38500
1430,1-3年,50000
1431,1-3年,55000
1432,5-10年,115384
1433,0-1年,47500
1434,1-3年,45000
1435,1-3年,37000
1436,3-5年,100000
1437,0-1年,85000
1438,1-3年,46000
1440,3-5年,100000
1441,1-3年,100000
1442,0-1年,40000
1443,0-1年,45000
1445,0-1年,40000
1448,1-3年,38000
1450,3-5年,65000
1451,0-1年,65000
1452,5-10年,100000
1453,1-3年,55000
1454,5-10年,85000
1456,1-3年,30000
1457,1-3年,55000
1458,0-1年,50000
1459,10年以上,68500
1461,3-5年,40000
1462,0-1年,65000
1466,1-3年,72500
1469,1-3年,42000
1473,1-3年,28000
1475,3-5年,28000
1476,0-1年,35000
1477,3-5年,100000
1478,3-5年,100000
1479,1-3年,61000
1480,3-5年,80000
1481,1-3年,38500
1482,0-1年,48500
1483,5-10年,85000
1489,3-5年,55000
1490,3-5年,58000
1491,5-10年,65000
1492,0-1年,65000
1496,1-3年,72500
1499,1-3年,42000
1503,1-3年,28000
1505,3-5年,28000
1506,0-1年,35000
1507,3-5年,100000
1508,3-5年,100000
1509,1-3年,61000
1510,3-5年,80000
1511,1-3年,38500
1512,0-1年,48500
1513,5-10年,85000
1516,0-1年,45000
1518,1-3年,45000
1520,0-1年,39000
1521,0-1年,32000
1524,0-1年,41500
1525,0-1年,39000
1527,5-10年,40000
1529,1-3年,40000
1530,1-3年,53500
1541,0-1年,47500
1542,0-1年,28625
1546,3-5年,58000
1547,3-5年,30000
1548,3-5年,30000
1549,0-1年,30000
1550,5-10年,90000
1553,3-5年,51500
1554,5-10年,37625
1556,1-3年,41500
1561,1-3年,80000
1562,0-1年,50000
1563,5-10年,165000
1565,5-10年,55000
1567,1-3年,40000
1570,3-5年,72500
1572,3-5年,50000
1574,0-1年,50000
1576,3-5年,55000
1577,5-10年,70000
1579,3-5年,65000
1581,0-1年,48500
1589,3-5年,47500
1591,3-5年,47500
1599,0-1年,50000
1600,5-10年,76153
1601,0-1年,35000
1604,1-3年,33500
1609,1-3年,40000
1613,1-3年,42500
1614,0-1年,47500
1622,5-10年,57500
1623,1-3年,167500
1624,1-3年,105000
1625,0-1年,47500
1627,10年以上,70000
1628,0-1年,60000
1633,5-10年,40000
1636,1-3年,60000
1637,0-1年,50000
1639,3-5年,60000
1645,3-5年,61000
1648,3-5年,60000
1649,3-5年,47500
1650,3-5年,60000
1651,3-5年,60000
1652,3-5年,60000
1653,0-1年,80000
1654,0-1年,125000
1656,0-1年,47500
1657,0-1年,45000
1658,0-1年,75000
1659,3-5年,107692
1661,0-1年,45000
1662,3-5年,82500
1663,0-1年,75000
1664,3-5年,60000
1665,3-5年,60000
1667,5-10年,75000
1669,3-5年,52500
1672,1-3年,30000
1673,3-5年,62500
1675,0-1年,47500
1676,3-5年,51000
1679,3-5年,125000
1681,0-1年,85000
1682,0-1年,85000
1685,0-1年,46500
1689,5-10年,173076
1692,5-10年,173076
1696,5-10年,92307
1697,0-1年,92307
1703,3-5年,70000
1711,5-10年,92307
1714,1-3年,63461
1720,3-5年,42500
1726,5-10年,461538
1727,3-5年,125000
1728,3-5年,65000
1731,5-10年,40000
1732,5-10年,50000
1733,3-5年,44000
1734,0-1年,46500
1735,0-1年,72500
1745,3-5年,40000
1747,0-1年,44000
1748,0-1年,45000
1751,5-10年,80000
1756,0-1年,37500
1759,1-3年,41500
1760,0-1年,35000
1764,3-5年,85000
1765,1-3年,35000
1767,1-3年,72500
1775,1-3年,65384
1776,3-5年,72500
1778,1-3年,42500
1781,5-10年,115384
1788,1-3年,42500
1792,5-10年,70000
1796,1-3年,42500
1797,1-3年,42500
1800,0-1年,44000
1801,0-1年,45000
1802,3-5年,50000
1803,3-5年,50000
1804,1-3年,71000
1810,0-1年,37500
1815,3-5年,80000
1816,3-5年,80000
1823,0-1年,60000
1826,0-1年,60000
1827,0-1年,57500
1834,1-3年,37500
1835,3-5年,80769
1839,1-3年,31500
1841,0-1年,44000
1842,0-1年,42500
1843,0-1年,38500
1848,3-5年,60000
1849,0-1年,31000
1858,0-1年,50000
1861,5-10年,76923
1862,5-10年,65000
1863,10年以上,40000
1864,1-3年,55000
1865,5-10年,115384
1866,0-1年,44000
1867,0-1年,42500
1868,5-10年,113100
1869,0-1年,45000
1873,3-5年,33000
1874,1-3年,40000
1875,3-5年,58000
1876,5-10年,65000
1877,1-3年,60000
1879,1-3年,40000
1880,1-3年,60000
1881,1-3年,54000
1884,1-3年,34998
1887,0-1年,35000
1888,0-1年,35000
1891,3-5年,35000
1892,5-10年,165000
1893,0-1年,26000
1894,1-3年,26000
1896,0-1年,42500
1897,0-1年,44000
1898,0-1年,42500
1899,0-1年,30125
1900,3-5年,47500
1901,0-1年,32500
1902,3-5年,47500
1903,0-1年,35000
1906,3-5年,40000
1907,1-3年,33500
1908,1-3年,67500
1909,1-3年,55000
1910,1-3年,39000
1911,0-1年,50000
1913,3-5年,47500
1917,3-5年,41500
1918,0-1年,28000
1919,5-10年,155000
1924,0-1年,47500
1925,0-1年,37500
1927,0-1年,70000
1933,0-1年,107692
1934,0-1年,1500000
1935,3-5年,1500000
1936,0-1年,123076
1937,0-1年,130769
1938,3-5年,80000
1939,1-3年,40000
1940,3-5年,80000
1941,3-5年,80000
1943,5-10年,88461
1948,1-3年,45000
1950,1-3年,58000
1952,1-3年,57500
1958,3-5年,96153
1964,3-5年,40000
1965,3-5年,40000
1967,1-3年,34000
1968,0-1年,38000
1974,1-3年,55000
1977,0-1年,35000
1978,1-3年,65000
1981,1-3年,52500
1982,0-1年,57500
1988,0-1年,53000
1994,3-5年,40000
1995,3-5年,40000
1997,1-3年,34000
1998,0-1年,38000
2004,1-3年,55000
2007,0-1年,35000
2008,1-3年,65000
2011,1-3年,52500
2012,0-1年,57500
2018,0-1年,53000
2024,3-5年,40000
2025,3-5年,40000
2027,1-3年,34000
2028,0-1年,38000
2033,0-1年,50000
2034,1-3年,60000
2035,1-3年,43000
2036,1-3年,60000
2037,3-5年,76923
2039,0-1年,55000
2040,3-5年,88461
2041,0-1年,60000
2043,0-1年,45000
2044,0-1年,50000
2045,0-1年,55000
2046,0-1年,34000
2048,0-1年,50000
2055,3-5年,115384
2059,0-1年,70000
2060,1-3年,40000
2061,0-1年,50000
2062,0-1年,76923
2063,0-1年,50000
2064,1-3年,60000
2065,1-3年,43000
2066,1-3年,60000
2067,3-5年,76923
2069,0-1年,55000
2070,3-5年,88461
2071,0-1年,60000
2073,0-1年,45000
2074,0-1年,50000
2075,0-1年,55000
2076,0-1年,34000
2078,0-1年,50000
2085,3-5年,115384
2089,0-1年,70000
2090,1-3年,40000
2091,0-1年,50000
2092,0-1年,76923
2093,0-1年,50000
2094,1-3年,60000
2095,1-3年,43000
2096,1-3年,60000
2097,3-5年,76923
2099,1-3年,37500
2102,1-3年,52500
2103,1-3年,50000
2105,0-1年,37410
2106,0-1年,33060
2108,3-5年,90000
2109,3-5年,92500
2110,0-1年,60000
2111,3-5年,100000
2112,3-5年,95000
2115,0-1年,75000
2116,3-5年,57500
2117,0-1年,85000
2118,0-1年,80000
2119,0-1年,47000
2121,0-1年,75000
2122,3-5年,100000
2123,1-3年,76923
2126,1-3年,28000
2127,5-10年,70000
2128,3-5年,107692
2129,1-3年,37500
2132,1-3年,52500
2133,1-3年,50000
2135,0-1年,37410
2136,0-1年,33060
2138,3-5年,90000
2139,3-5年,92500
2140,0-1年,60000
2141,3-5年,100000
2142,3-5年,95000
2145,0-1年,75000
2146,3-5年,57500
2147,0-1年,85000
2148,0-1年,80000
2149,0-1年,47000
2151,0-1年,75000
2152,3-5年,100000
2153,1-3年,76923
2156,1-3年,28000
2157,5-10年,70000
2158,3-5年,107692
2159,1-3年,37500
2162,1-3年,52500
2163,1-3年,50000
2165,0-1年,37410
2166,0-1年,33060
2168,3-5年,90000
2169,3-5年,92500
2170,0-1年,60000
2171,3-5年,100000
2172,3-5年,95000
2175,1-3年,107692
2179,1-3年,107692
2181,3-5年,107692
2187,3-5年,130769
2194,1-3年,70000
2196,3-5年,123076
2203,0-1年,42500
2205,1-3年,107692
2209,1-3年,107692
2211,3-5年,107692
2217,3-5年,130769
2224,1-3年,70000
2226,3-5年,123076
2233,0-1年,42500
2235,1-3年,107692
2239,1-3年,107692
2241,3-5年,107692
2247,3-5年,130769
2254,1-3年,40000
2255,1-3年,55000
2257,0-1年,47000
2263,0-1年,55500
2266,1-3年,47000
2271,0-1年,47000
2272,1-3年,47000
2273,0-1年,47000
2274,0-1年,47000
2275,0-1年,47000
2279,0-1年,47000
2280,0-1年,47000
2284,0-1年,30000
2287,0-1年,47000
2293,0-1年,55500
2295,5-10年,70000
2301,3-5年,90000
2305,1-3年,65000
2314,1-3年,47500
2325,5-10年,70000
2331,3-5年,90000
2335,1-3年,65000
2344,1-3年,47500
2355,5-10年,70000
2361,3-5年,90000
2365,1-3年,65000
2374,1-3年,47500
2385,5-10年,70000
2391,3-5年,90000
2395,1-3年,65000
2404,1-3年,47500
2415,5-10年,70000
2421,3-5年,90000
2425,1-3年,65000
2434,1-3年,47500
2445,5-10年,70000
2451,3-5年,90000
2455,1-3年,65000
2464,1-3年,47500
2475,5-10年,70000
2481,3-5年,90000
2485,1-3年,65000
2494,1-3年,47500
2505,5-10年,70000
2511,3-5年,90000
2515,1-3年,65000
2523,1-3年,47500
2534,5-10年,70000
2540,3-5年,90000
2544,1-3年,65000
2547,1-3年,100000
2550,1-3年,41500
2551,5-10年,62500
2558,0-1年,55000
2564,0-1年,80000
2572,3-5年,58000
2575,0-1年,33000
2577,1-3年,100000
2580,1-3年,41500
2581,5-10年,62500
2588,0-1年,55000
2594,0-1年,80000
2602,0-1年,42500
2604,0-1年,66500
2605,0-1年,44000
2608,0-1年,60000
2626,0-1年,52500
2627,0-1年,52500
2630,0-1年,40000
2631,3-5年,61538
2632,0-1年,44000
2634,0-1年,66500
2635,0-1年,44000
2638,0-1年,60000
2656,0-1年,52500
2657,0-1年,52500
2660,1-3年,75000
2661,1-3年,60000
2662,1-3年,65000
2663,1-3年,43500
2665,0-1年,43500
2676,1-3年,36000
2684,0-1年,34000
2686,0-1年,36500
2687,0-1年,33000
2690,1-3年,75000
2691,1-3年,60000
2692,1-3年,65000
2693,1-3年,43500
2698,0-1年,50500
2699,0-1年,50500
2700,0-1年,50500
2701,1-3年,50500
2704,3-5年,65000
2724,1-3年,35000
2725,1-3年,55000
2727,0-1年,34800
2729,1-3年,41500
2730,0-1年,70000
2734,3-5年,65000
2754,1-3年,35000
2755,1-3年,55000
2757,0-1年,34800
2759,1-3年,41500
2760,0-1年,70000
2764,3-5年,65000
2772,0-1年,60000
2788,0-1年,52500
2789,3-5年,75000
2791,3-5年,75000
2792,1-3年,33500
2793,0-1年,55000
2798,0-1年,50000
2801,1-3年,53000
2818,0-1年,52500
2819,3-5年,75000
2821,3-5年,75000
2822,1-3年,33500
2823,0-1年,55000
2828,0-1年,50000
2831,1-3年,53000
2843,3-5年,50000
2849,1-3年,75000
2850,1-3年,70000
2851,0-1年,70000
2855,1-3年,72500
2864,1-3年,46500
2865,1-3年,46500
2873,3-5年,50000
2879,1-3年,75000
2880,1-3年,70000
2881,0-1年,70000
2885,1-3年,72500
2894,1-3年,46500
2895,1-3年,46500
2903,3-5年,50000
2911,0-1年,45000
2912,3-5年,57500
2913,0-1年,40000
2915,0-1年,35000
2918,0-1年,55000
2922,0-1年,30450
2923,0-1年,33000
2924,1-3年,72500
2925,1-3年,45000
2926,1-3年,57500
2927,1-3年,57500
2930,1-3年,40000
2937,1-3年,45000
2955,0-1年,35000
2957,1-3年,80000
2958,1-3年,51000
2960,0-1年,50000
2965,0-1年,34000
2966,0-1年,36500
2967,0-1年,40000
2968,3-5年,45000
2969,5-10年,46500
2970,3-5年,50500
2971,1-3年,50500
2974,0-1年,45000
2975,0-1年,45000
2981,1-3年,43000
2986,1-3年,49750
2987,1-3年,54000
2988,0-1年,45000
2989,0-1年,45000
2990,0-1年,45000
2991,0-1年,45000
2992,0-1年,45000
2993,0-1年,45000
2994,1-3年,45000
2995,1-3年,45000
2997,0-1年,43500
2999,0-1年,77500
3000,0-1年,77500
3002,0-1年,77500
3003,0-1年,33500
3004,1-3年,44000
3005,1-3年,38000
3006,3-5年,77500
3007,0-1年,60000
3008,3-5年,50000
3010,0-1年,58500
3011,1-3年,55000
3012,0-1年,64500
3013,1-3年,52500
3018,0-1年,36000
3021,5-10年,60000
3023,0-1年,37500
3024,0-1年,42500
3030,0-1年,31500
3031,3-5年,76923
3036,3-5年,40000
3037,0-1年,43000
3038,0-1年,43000
3039,0-1年,43000
3042,1-3年,50000
3043,0-1年,34000
3045,1-3年,33500
3050,1-3年,50000
3053,0-1年,41500
3060,0-1年,45000
3083,0-1年,41500
3090,0-1年,45000
3094,0-1年,40500
3095,0-1年,45000
3098,1-3年,40000
3101,0-1年,65000
3105,1-3年,60000
3119,1-3年,42500
3123,0-1年,35000
3127,0-1年,32000
3130,0-1年,34000
3135,1-3年,60000
3149,1-3年,42500
3153,0-1年,35000
3157,0-1年,32000
3160,0-1年,34000
3165,1-3年,60000
3179,1-3年,42500
3183,0-1年,35000
3187,0-1年,32000
3190,0-1年,34000
3195,1-3年,60000
3209,1-3年,42500
3213,0-1年,35000
3217,0-1年,32000
3220,0-1年,34000
3225,1-3年,60000
3239,1-3年,42500
3243,0-1年,35000
3247,0-1年,32000
3250,0-1年,34000
3255,1-3年,60000
3269,1-3年,42500
3273,0-1年,35000
3277,0-1年,32000
3280,0-1年,34000
3285,1-3年,60000
3299,1-3年,42500
3303,0-1年,35000
3307,0-1年,32000
3310,0-1年,34000
3315,1-3年,60000
3329,1-3年,42500
3333,0-1年,35000
3337,0-1年,32000
3340,0-1年,34000
3345,1-3年,60000
3359,1-3年,42500
3363,0-1年,35000
3367,0-1年,32000
3370,0-1年,34000
3375,0-1年,50500
3376,1-3年,76923
3386,1-3年,50000
3390,0-1年,47500
3400,1-3年,70000
3405,0-1年,50500
3406,1-3年,76923
3416,1-3年,50000
3420,0-1年,47500
3430,1-3年,70000
3435,0-1年,50500
3436,1-3年,76923
3446,1-3年,50000
3450,0-1年,47500
3458,1-3年,105000
3459,0-1年,33000
3460,1-3年,35000
3470,1-3年,54500
3471,0-1年,54500
3472,0-1年,54500
3473,0-1年,54500
3475,1-3年,54500
3477,0-1年,50000
3478,0-1年,35000
3479,0-1年,35000
3480,0-1年,50000
3482,0-1年,35000
3483,0-1年,35000
3484,0-1年,35000
3488,1-3年,105000
3489,0-1年,33000
3490,1-3年,35000
3496,0-1年,34800
3525,0-1年,35000
3531,0-1年,42625
3532,3-5年,55000
3533,1-3年,226200
3535,1-3年,40000
3536,0-1年,39500
3539,1-3年,39000
3541,0-1年,33500
3543,1-3年,226200
3545,1-3年,50000
3548,1-3年,55000
3550,3-5年,100000
3551,0-1年,43500
3552,0-1年,36000
3553,0-1年,45000
3556,0-1年,38500
3557,1-3年,43500
3558,1-3年,55000
3559,3-5年,45000
3560,0-1年,64000
3564,0-1年,37500
3566,3-5年,50000
3567,3-5年,40000
3569,0-1年,52500
3570,3-5年,50000
3571,0-1年,27000
3573,3-5年,45000
3577,1-3年,45000
3578,0-1年,55000
3579,0-1年,47500
3581,0-1年,33000
3583,0-1年,40000
3584,0-1年,40000
3586,3-5年,60000
3587,1-3年,45000
3588,3-5年,60000
3590,0-1年,40000
3591,3-5年,50000
3592,1-3年,70000
3593,3-5年,50000
3594,0-1年,37500
3596,3-5年,50000
3597,3-5年,40000
3599,0-1年,52500
3600,3-5年,50000
3601,0-1年,27000
3603,3-5年,45000
3607,1-3年,45000
3608,0-1年,55000
3609,0-1年,47500
3611,0-1年,33000
3613,0-1年,40000
3614,0-1年,40000
3622,0-1年,33000
3624,1-3年,44000
3625,1-3年,52500
3626,1-3年,62500
3627,1-3年,37500
3628,0-1年,32500
3629,1-3年,36450
3630,0-1年,35000
3631,3-5年,55000
3634,0-1年,49000
3635,0-1年,58500
3636,0-1年,33500
3637,3-5年,40000
3640,1-3年,30000
3641,1-3年,30000
3642,0-1年,32000
3649,0-1年,40000
3650,0-1年,26750
3651,1-3年,37500
3652,1-3年,34000
3653,3-5年,58000
3655,0-1年,37513
3656,0-1年,57500
3657,0-1年,39429
