,工作經歷,薪水
15954,0-1年,30000
15955,1-3年,52500
15959,0-1年,40000
15970,0-1年,41500
15979,1-3年,60000
15989,0-1年,40000
16000,0-1年,41500
16009,1-3年,60000
16019,0-1年,40000
16030,0-1年,41500
16039,1-3年,60000
16049,0-1年,40000
16060,0-1年,41500
16069,1-3年,60000
16079,0-1年,40000
16090,0-1年,41500
16099,1-3年,60000
16109,0-1年,40000
16120,0-1年,41500
16129,1-3年,60000
16139,0-1年,40000
16150,0-1年,41500
16159,1-3年,60000
16169,0-1年,40000
16180,0-1年,41500
16189,1-3年,60000
16199,0-1年,40000
16210,0-1年,41500
16219,1-3年,60000
16229,0-1年,40000
16240,0-1年,41500
16249,1-3年,60000
16259,0-1年,40000
16270,0-1年,41500
16297,0-1年,35000
16301,5-10年,57500
16302,1-3年,47500
16303,1-3年,50000
16304,1-3年,47500
16305,0-1年,47500
16323,0-1年,33000
16327,0-1年,33000
16329,0-1年,40000
16335,0-1年,40500
16336,0-1年,41500
16339,1-3年,65000
16341,0-1年,45000
16345,3-5年,40000
16346,5-10年,52500
16347,0-1年,36000
16351,10年以上,85000
16352,0-1年,48500
16354,0-1年,48500
16356,0-1年,48500
16357,1-3年,48500
16358,0-1年,48500
16361,0-1年,48500
16363,0-1年,77500
16365,0-1年,48500
16366,1-3年,32500
16367,5-10年,60000
16369,1-3年,47500
16371,0-1年,45000
16375,3-5年,40000
16376,5-10年,52500
16377,0-1年,36000
16381,10年以上,85000
16382,0-1年,48500
16384,0-1年,48500
16386,0-1年,48500
16387,1-3年,48500
16388,0-1年,48500
16391,0-1年,48500
16396,0-1年,36950
16397,0-1年,39500
16399,1-3年,46000
16402,0-1年,36500
16407,0-1年,50000
16409,0-1年,50000
16410,0-1年,45000
16411,0-1年,32000
16412,0-1年,41000
16414,1-3年,60000
16419,0-1年,70000
16427,0-1年,36950
16428,0-1年,39500
16430,1-3年,46000
16433,0-1年,36500
16438,0-1年,50000
16440,0-1年,50000
16441,0-1年,45000
16442,0-1年,32000
16443,0-1年,41000
16445,1-3年,60000
16450,0-1年,70000
16458,0-1年,36950
16459,0-1年,39500
16461,1-3年,46000
16464,0-1年,36500
16469,0-1年,50000
16471,0-1年,50000
16472,0-1年,45000
16473,0-1年,32000
16474,0-1年,41000
16476,1-3年,60000
16479,0-1年,33500
16482,1-3年,60000
16485,0-1年,52500
16496,3-5年,75000
16504,1-3年,45000
16509,0-1年,33500
16512,1-3年,60000
16515,0-1年,52500
16526,3-5年,75000
16534,1-3年,45000
16539,0-1年,33500
16542,1-3年,60000
16545,0-1年,52500
16556,3-5年,75000
16564,1-3年,45000
16569,0-1年,33500
16572,1-3年,60000
16575,0-1年,52500
16586,3-5年,75000
16594,1-3年,45000
16599,0-1年,33500
16602,1-3年,60000
16605,0-1年,52500
16616,3-5年,75000
16624,1-3年,45000
16629,0-1年,33500
16632,1-3年,60000
16635,0-1年,52500
16646,3-5年,75000
16654,1-3年,45000
16659,0-1年,33500
16662,1-3年,60000
16665,0-1年,52500
16676,3-5年,75000
16684,1-3年,45000
16689,0-1年,33500
16692,1-3年,60000
16695,0-1年,52500
16706,3-5年,75000
16714,1-3年,45000
16719,0-1年,33500
16722,1-3年,60000
16725,0-1年,52500
16736,3-5年,75000
16744,1-3年,45000
16749,0-1年,33500
16752,1-3年,60000
16755,0-1年,52500
16766,3-5年,75000
16774,1-3年,45000
16779,0-1年,33500
16782,1-3年,60000
16785,0-1年,52500
16796,3-5年,75000
16804,1-3年,45000
16809,0-1年,33500
16812,1-3年,60000
16815,0-1年,52500
16826,3-5年,75000
16834,1-3年,45000
16839,0-1年,33500
16842,1-3年,60000
16845,0-1年,52500
16856,3-5年,75000
16864,1-3年,45000
16869,0-1年,33500
16872,1-3年,60000
16875,0-1年,52500
16886,3-5年,75000
16894,1-3年,45000
16899,0-1年,33500
16902,1-3年,60000
16905,0-1年,52500
16916,3-5年,75000
16924,1-3年,45000
16929,0-1年,33500
16932,1-3年,60000
16935,0-1年,52500
16946,3-5年,75000
16954,1-3年,45000
16959,0-1年,33500
16962,1-3年,60000
16965,0-1年,52500
16976,3-5年,75000
16984,1-3年,45000
16989,0-1年,33500
16992,1-3年,60000
16995,0-1年,52500
17006,3-5年,75000
17014,1-3年,45000
17019,0-1年,33500
17022,1-3年,60000
17025,0-1年,52500
17036,3-5年,75000
17044,1-3年,45000
17049,0-1年,33500
17052,1-3年,60000
17055,0-1年,52500
17066,3-5年,75000
17074,1-3年,45000
17079,0-1年,33500
17082,1-3年,60000
17085,0-1年,52500
17096,3-5年,75000
17104,1-3年,45000
17109,0-1年,33500
17112,1-3年,60000
17115,0-1年,52500
17126,3-5年,75000
17134,1-3年,45000
17139,0-1年,33500
17142,1-3年,60000
17145,0-1年,52500
17156,3-5年,75000
17164,1-3年,45000
17169,0-1年,33500
17172,1-3年,60000
17175,0-1年,52500
17186,3-5年,75000
17194,1-3年,45000
17199,0-1年,33500
17202,1-3年,60000
17205,0-1年,52500
17216,3-5年,75000
17224,1-3年,45000
17229,0-1年,33500
17232,1-3年,60000
17235,0-1年,52500
17246,3-5年,75000
17254,1-3年,45000
17259,0-1年,33500
17262,1-3年,60000
17265,0-1年,52500
17276,3-5年,75000
17284,1-3年,45000
17289,0-1年,33500
17292,1-3年,60000
17295,0-1年,52500
17306,3-5年,75000
17314,1-3年,45000
17319,0-1年,33500
17322,1-3年,60000
17325,0-1年,52500
17336,3-5年,75000
17344,1-3年,45000
17349,0-1年,33500
17352,1-3年,60000
17355,0-1年,52500
17366,3-5年,75000
17374,1-3年,45000
17379,0-1年,33500
17382,1-3年,60000
17385,0-1年,52500
17396,3-5年,75000
17404,1-3年,45000
17409,0-1年,33500
17412,1-3年,60000
17415,0-1年,52500
17426,3-5年,75000
17434,1-3年,45000
17439,0-1年,33500
17442,1-3年,60000
17445,0-1年,52500
17456,3-5年,75000
17464,1-3年,45000
17469,0-1年,33500
17472,1-3年,60000
17475,0-1年,52500
17486,3-5年,75000
17494,1-3年,45000
17499,0-1年,33500
17502,1-3年,60000
17505,0-1年,52500
17516,3-5年,75000
17524,1-3年,45000
17529,0-1年,33500
17532,1-3年,60000
17535,0-1年,52500
17546,3-5年,75000
17554,1-3年,45000
17559,0-1年,33500
17562,1-3年,60000
17565,0-1年,52500
17576,3-5年,75000
17584,1-3年,45000
17589,0-1年,33500
17592,1-3年,60000
17595,0-1年,52500
17606,3-5年,75000
17614,1-3年,45000
17619,0-1年,33500
17622,1-3年,60000
17625,0-1年,52500
17636,3-5年,75000
17644,1-3年,45000
17649,0-1年,33500
17652,1-3年,60000
17655,0-1年,52500
17666,3-5年,75000
17674,1-3年,45000
17679,0-1年,33500
17682,1-3年,60000
17685,0-1年,52500
17696,3-5年,75000
17704,1-3年,45000
17709,0-1年,33500
17712,1-3年,60000
17715,0-1年,52500
17726,3-5年,75000
17734,1-3年,45000
17739,0-1年,33500
17742,1-3年,60000
17745,0-1年,52500
17756,3-5年,75000
17759,0-1年,40000
17760,0-1年,45000
17761,0-1年,60000
17762,0-1年,40000
17763,0-1年,50500
17765,0-1年,50000
17769,0-1年,60000
17771,0-1年,69230
17773,3-5年,80000
17779,1-3年,76923
17780,0-1年,51500
17781,0-1年,50000
17785,0-1年,35235
17787,0-1年,60000
17788,0-1年,47500
17792,0-1年,40000
17793,0-1年,45000
17794,0-1年,60000
17795,0-1年,40000
17796,0-1年,50500
17798,0-1年,50000
17802,0-1年,60000
17804,0-1年,69230
17806,3-5年,80000
17812,1-3年,76923
17813,0-1年,51500
17814,0-1年,50000
17818,0-1年,35235
17820,0-1年,60000
17821,0-1年,47500
17825,0-1年,40000
17826,0-1年,45000
17827,0-1年,60000
17828,0-1年,40000
17829,0-1年,50500
17831,0-1年,50000
17835,0-1年,60000
17837,0-1年,69230
17839,3-5年,80000
17845,1-3年,76923
17846,0-1年,51500
17847,0-1年,50000
17851,0-1年,35235
17853,0-1年,60000
17854,0-1年,47500
17858,0-1年,40000
17859,0-1年,45000
17860,0-1年,60000
17861,0-1年,40000
17862,0-1年,50500
17864,0-1年,50000
17868,0-1年,60000
17870,0-1年,69230
17872,3-5年,80000
17878,1-3年,76923
17879,0-1年,51500
17880,0-1年,50000
17884,0-1年,35235
17886,0-1年,60000
17887,0-1年,47500
17891,0-1年,40000
17892,0-1年,45000
17893,0-1年,60000
17894,0-1年,40000
17895,0-1年,50500
17897,0-1年,50000
17901,0-1年,60000
17903,0-1年,69230
17905,3-5年,80000
17911,1-3年,76923
17912,0-1年,51500
17913,0-1年,50000
17917,0-1年,35235
17919,0-1年,60000
17920,0-1年,47500
17924,0-1年,40000
17925,0-1年,45000
17926,0-1年,60000
17927,0-1年,40000
17928,0-1年,50500
17930,0-1年,50000
17934,0-1年,60000
17936,0-1年,69230
17938,3-5年,80000
17944,1-3年,76923
17945,0-1年,51500
17946,0-1年,50000
17950,0-1年,35235
17952,0-1年,60000
17953,0-1年,47500
17957,0-1年,40000
17958,0-1年,45000
17959,0-1年,60000
17960,0-1年,40000
17961,0-1年,50500
17963,0-1年,50000
17967,0-1年,60000
17969,0-1年,69230
17971,3-5年,80000
17977,1-3年,76923
17978,0-1年,51500
17979,0-1年,50000
17983,0-1年,35235
17985,0-1年,60000
17986,0-1年,47500
17990,0-1年,40000
17991,0-1年,45000
17992,0-1年,60000
17993,0-1年,40000
17994,0-1年,50500
17996,0-1年,50000
18000,0-1年,60000
18002,0-1年,69230
18004,3-5年,80000
18010,1-3年,76923
18011,0-1年,51500
18012,0-1年,50000
18016,0-1年,35235
18018,0-1年,60000
18019,0-1年,47500
18023,0-1年,40000
18024,0-1年,45000
18025,0-1年,60000
18026,0-1年,40000
18027,0-1年,50500
18029,0-1年,50000
18033,0-1年,60000
18035,0-1年,69230
18037,3-5年,80000
18043,1-3年,76923
18044,0-1年,51500
18045,0-1年,50000
18049,0-1年,35235
18051,0-1年,60000
18052,0-1年,47500
18056,0-1年,40000
18057,0-1年,45000
18058,0-1年,60000
18059,0-1年,40000
18060,0-1年,50500
18062,0-1年,50000
18066,0-1年,60000
18068,0-1年,69230
18070,3-5年,80000
18076,1-3年,76923
18077,0-1年,51500
18078,0-1年,50000
18082,0-1年,35235
18084,0-1年,60000
18085,0-1年,47500
18089,0-1年,40000
18090,0-1年,45000
18091,0-1年,60000
18092,0-1年,40000
18093,0-1年,50500
18095,0-1年,50000
18099,0-1年,60000
18101,0-1年,69230
18103,3-5年,80000
18109,1-3年,76923
18110,0-1年,51500
18111,0-1年,50000
18115,0-1年,35235
18117,0-1年,60000
18118,0-1年,47500
18122,0-1年,40000
18123,0-1年,45000
18124,0-1年,60000
18125,0-1年,40000
18126,0-1年,50500
18128,0-1年,50000
18132,0-1年,60000
18134,0-1年,69230
18136,3-5年,80000
18142,1-3年,76923
18143,0-1年,51500
18144,0-1年,50000
18148,0-1年,35235
18150,0-1年,60000
18151,0-1年,47500
18155,0-1年,40000
18156,0-1年,45000
18157,0-1年,60000
18158,0-1年,40000
18159,0-1年,50500
18161,0-1年,50000
18165,0-1年,60000
18167,0-1年,69230
18169,3-5年,80000
18170,0-1年,33500
18173,0-1年,48000
18174,0-1年,51000
18176,1-3年,105000
18179,0-1年,45000
18180,0-1年,39000
18181,0-1年,48000
18184,0-1年,48000
18185,0-1年,35500
18192,0-1年,48000
18194,0-1年,41000
18200,0-1年,33500
18203,0-1年,48000
18204,0-1年,51000
18206,1-3年,105000
18209,0-1年,45000
18210,0-1年,39000
18211,0-1年,48000
18214,0-1年,48000
18215,0-1年,35500
18222,0-1年,48000
18224,0-1年,41000
18230,0-1年,33500
18233,0-1年,48000
18234,0-1年,51000
18236,1-3年,105000
18239,0-1年,45000
18240,0-1年,39000
18241,0-1年,48000
18244,0-1年,48000
18245,0-1年,35500
18252,0-1年,48000
18254,0-1年,41000
18260,0-1年,33500
18263,0-1年,48000
18264,0-1年,51000
18266,1-3年,105000
18269,0-1年,45000
18270,0-1年,39000
18271,0-1年,48000
18274,0-1年,48000
18275,0-1年,35500
18282,0-1年,48000
18284,0-1年,41000
18290,0-1年,33500
18293,0-1年,48000
18294,0-1年,51000
18296,1-3年,105000
18299,0-1年,45000
18300,0-1年,39000
18301,0-1年,48000
18304,0-1年,48000
18305,0-1年,35500
18312,0-1年,48000
18314,0-1年,41000
18315,0-1年,41500
18317,0-1年,51000
18318,1-3年,51000
18320,0-1年,42500
18323,0-1年,50000
18325,3-5年,47500
18327,5-10年,70000
18328,0-1年,51000
18332,1-3年,40000
18338,3-5年,47500
18348,0-1年,67000
18349,0-1年,68500
18350,0-1年,68500
18356,0-1年,42500
18357,0-1年,44500
18358,0-1年,50000
18359,0-1年,27625
18361,1-3年,50000
18362,0-1年,41500
18363,0-1年,41500
18364,0-1年,44500
18366,1-3年,42500
18369,0-1年,40000
18378,0-1年,67000
18379,0-1年,68500
18380,0-1年,68500
18386,0-1年,42500
18387,0-1年,44500
18388,0-1年,50000
18389,0-1年,27625
18391,1-3年,50000
18392,0-1年,41500
18393,0-1年,41500
18394,0-1年,44500
18396,1-3年,42500
18399,0-1年,40000
18409,0-1年,33060
18415,0-1年,47000
18417,0-1年,30450
18418,0-1年,40000
18430,0-1年,31320
18439,0-1年,33060
18445,0-1年,47000
18447,0-1年,30450
18448,0-1年,40000
18460,0-1年,31320
18469,0-1年,33060
18475,0-1年,47000
18477,0-1年,30450
18478,0-1年,40000
18490,0-1年,31320
18499,0-1年,33060
18505,0-1年,47000
18507,0-1年,30450
18508,0-1年,40000
18520,0-1年,31320
18529,0-1年,33060
18535,0-1年,47000
18537,0-1年,30450
18538,0-1年,40000
18550,0-1年,31320
18559,0-1年,33060
18565,0-1年,47000
18567,0-1年,30450
18568,0-1年,40000
18580,0-1年,49000
18581,1-3年,60000
18582,1-3年,60000
18590,0-1年,40000
18591,0-1年,52500
18592,0-1年,40000
18595,5-10年,55000
18596,3-5年,60000
18600,0-1年,37000
18601,0-1年,38500
18602,3-5年,68500
18604,1-3年,40000
18609,0-1年,49000
18610,1-3年,60000
18611,1-3年,60000
18619,0-1年,40000
18620,0-1年,52500
18621,0-1年,40000
18624,5-10年,55000
18625,3-5年,60000
18629,0-1年,37000
18630,0-1年,38500
18631,3-5年,68500
18633,1-3年,40000
18638,0-1年,49000
18639,1-3年,60000
18640,1-3年,60000
18648,0-1年,40000
18649,0-1年,52500
18650,0-1年,40000
18653,5-10年,55000
18654,3-5年,60000
18658,0-1年,37000
18659,0-1年,38500
18660,3-5年,68500
18662,1-3年,40000
18667,0-1年,49000
18668,1-3年,60000
18669,1-3年,60000
18677,0-1年,40000
18678,0-1年,52500
18679,0-1年,40000
18684,0-1年,32625
18685,3-5年,55000
18687,3-5年,50000
18688,0-1年,41000
18689,0-1年,41000
18690,1-3年,226200
18691,0-1年,50000
18692,0-1年,40000
18693,0-1年,52500
18695,1-3年,36500
18697,0-1年,35000
18699,1-3年,35000
18700,3-5年,45000
18701,1-3年,60000
18702,1-3年,42500
18703,1-3年,60000
18708,3-5年,139200
18709,3-5年,139200
18710,1-3年,45000
18711,0-1年,48500
18712,1-3年,52500
18713,0-1年,47500
18714,1-3年,32500
18715,0-1年,35500
18716,1-3年,35500
18717,0-1年,75000
18718,1-3年,60000
18719,1-3年,35000
18720,1-3年,60000
18721,1-3年,75000
18722,0-1年,35000
18723,0-1年,50000
18724,0-1年,50000
18725,0-1年,50000
18726,0-1年,50000
18727,0-1年,50000
18728,0-1年,50000
18729,0-1年,50000
18730,1-3年,47500
18731,1-3年,60000
18732,1-3年,42500
18733,1-3年,60000
18738,3-5年,139200
18739,0-1年,52500
18740,1-3年,40000
18741,1-3年,32500
18742,0-1年,30500
18743,0-1年,35000
18744,3-5年,42500
18748,1-3年,40000
18751,3-5年,47500
18752,3-5年,44000
18753,1-3年,40000
18754,1-3年,50000
18756,1-3年,30000
18757,1-3年,30000
18759,1-3年,57500
18760,1-3年,60000
18761,0-1年,40000
18762,0-1年,35000
18763,0-1年,50000
18764,1-3年,40000
18765,0-1年,40000
18766,0-1年,38000
18767,0-1年,39500
18769,1-3年,44000
18771,0-1年,35000
18772,0-1年,30500
18773,0-1年,35000
18774,3-5年,42500
18778,1-3年,40000
18781,3-5年,47500
18782,3-5年,44000
18783,1-3年,40000
18784,1-3年,50000
18786,1-3年,30000
18787,1-3年,30000
18789,3-5年,60000
18790,0-1年,51500
18791,3-5年,50000
18792,1-3年,29232
18793,0-1年,41000
18794,1-3年,37500
18795,0-1年,40000
18796,0-1年,48500
18797,0-1年,40000
18799,0-1年,45000
18802,1-3年,40000
18803,0-1年,53500
18805,1-3年,42500
18806,0-1年,40000
18807,1-3年,35000
18808,1-3年,55000
18809,5-10年,65000
18811,1-3年,41000
18812,0-1年,50000
18814,1-3年,41000
18816,3-5年,60000
18817,1-3年,55000
18819,3-5年,60000
18820,0-1年,51500
18821,3-5年,50000
18822,1-3年,29232
18823,0-1年,41000
18824,1-3年,37500
18825,0-1年,40000
18826,0-1年,48500
18827,0-1年,40000
18829,0-1年,45000
18832,1-3年,40000
18833,0-1年,53500
18835,1-3年,42500
18836,0-1年,40000
18837,1-3年,35000
18838,1-3年,55000
18839,5-10年,65000
18841,1-3年,41000
18842,0-1年,50000
18844,1-3年,41000
18846,3-5年,60000
18847,1-3年,55000
18849,3-5年,60000
18850,0-1年,51500
18851,3-5年,50000
18852,1-3年,29232
18853,0-1年,41000
18854,1-3年,37500
18855,0-1年,40000
18856,0-1年,48500
18857,0-1年,40000
18859,0-1年,45000
18862,1-3年,40000
18863,0-1年,53500
18865,1-3年,42500
18866,0-1年,40000
18867,1-3年,35000
18868,1-3年,55000
18869,5-10年,65000
18871,1-3年,41000
18872,0-1年,50000
18874,1-3年,41000
18876,3-5年,60000
18877,1-3年,55000
18879,3-5年,60000
18880,0-1年,51500
18881,3-5年,50000
18882,1-3年,29232
18883,0-1年,41000
18884,1-3年,37500
18885,0-1年,40000
18886,0-1年,48500
18887,0-1年,40000
18889,0-1年,45000
18892,1-3年,40000
18893,0-1年,53500
18895,1-3年,42500
18896,0-1年,40000
18897,1-3年,35000
18898,1-3年,55000
18899,5-10年,65000
18901,1-3年,41000
18902,0-1年,50000
18904,1-3年,41000
18906,3-5年,60000
18907,1-3年,55000
18909,3-5年,60000
18910,0-1年,51500
18911,3-5年,50000
18912,1-3年,29232
18913,0-1年,41000
18914,1-3年,37500
18915,0-1年,40000
18916,0-1年,48500
18917,0-1年,40000
18919,0-1年,45000
18922,1-3年,40000
18923,0-1年,53500
18925,1-3年,42500
18926,0-1年,40000
18927,1-3年,35000
18928,1-3年,55000
18929,5-10年,65000
18931,1-3年,41000
18932,0-1年,50000
18934,1-3年,41000
18936,3-5年,60000
18937,1-3年,55000
18939,3-5年,60000
18940,0-1年,51500
18941,3-5年,50000
18942,1-3年,29232
18943,0-1年,41000
18944,1-3年,37500
18945,0-1年,40000
18946,0-1年,48500
18947,0-1年,40000
18949,0-1年,45000
18952,1-3年,40000
18953,0-1年,53500
18955,1-3年,42500
18956,0-1年,40000
18957,1-3年,35000
18958,1-3年,55000
18959,5-10年,65000
18961,1-3年,41000
18962,0-1年,50000
18964,1-3年,41000
18966,3-5年,60000
18967,1-3年,55000
18969,3-5年,60000
18970,0-1年,51500
18971,3-5年,50000
18972,1-3年,29232
18973,0-1年,41000
18974,1-3年,37500
18975,0-1年,40000
18976,0-1年,48500
18977,0-1年,40000
18979,0-1年,45000
18982,1-3年,40000
18983,0-1年,53500
18985,1-3年,42500
18986,0-1年,40000
18987,1-3年,35000
18988,1-3年,55000
18989,5-10年,65000
18991,1-3年,41000
18992,0-1年,50000
18993,1-3年,49000
18994,0-1年,46500
18996,0-1年,59000
18998,0-1年,40000
18999,1-3年,30000
19006,3-5年,40000
19008,1-3年,38000
19010,1-3年,38000
19012,1-3年,28625
19013,1-3年,139200
19016,0-1年,37500
19017,0-1年,37500
19019,0-1年,31500
19020,0-1年,28000
19022,0-1年,28000
19023,1-3年,49000
19024,0-1年,46500
19026,0-1年,59000
19028,0-1年,40000
19029,1-3年,30000
19036,3-5年,40000
19038,1-3年,38000
19040,1-3年,38000
19042,1-3年,28625
19043,1-3年,139200
19046,0-1年,37500
19047,0-1年,37500
19049,0-1年,31500
19050,0-1年,28000
19052,0-1年,28000
19053,1-3年,49000
19054,0-1年,46500
19056,0-1年,59000
19058,0-1年,40000
19059,1-3年,30000
19066,3-5年,40000
19068,1-3年,38000
19070,1-3年,38000
19072,1-3年,28625
19073,1-3年,139200
19076,0-1年,37500
19077,0-1年,37500
19079,0-1年,31500
19080,0-1年,28000
19082,0-1年,28000
19083,1-3年,49000
19084,0-1年,46500
19086,0-1年,59000
19088,0-1年,40000
19089,1-3年,30000
19096,3-5年,40000
19100,5-10年,100000
19101,1-3年,32500
19103,1-3年,55000
19105,5-10年,85000
19106,3-5年,36000
19108,1-3年,36000
19109,0-1年,38500
19110,1-3年,41500
19111,0-1年,49000
19112,5-10年,50000
19113,1-3年,30000
19114,1-3年,40000
19115,1-3年,35000
19116,0-1年,50000
19117,3-5年,51500
19118,1-3年,45000
19119,1-3年,38000
19122,0-1年,40000
19123,3-5年,76923
19124,1-3年,43500
19125,0-1年,40000
19126,1-3年,55000
19127,3-5年,76923
19130,5-10年,100000
19131,1-3年,32500
19133,1-3年,55000
19135,5-10年,85000
19136,3-5年,36000
19138,1-3年,36000
19139,0-1年,38500
19140,1-3年,41500
19141,0-1年,49000
19142,5-10年,50000
19143,1-3年,30000
19144,1-3年,40000
19145,1-3年,35000
19146,0-1年,50000
19147,3-5年,51500
19148,1-3年,45000
19149,1-3年,38000
19152,0-1年,40000
19153,3-5年,76923
19154,1-3年,43500
19155,0-1年,40000
19156,1-3年,55000
19157,3-5年,76923
19160,5-10年,100000
19161,1-3年,32500
19163,1-3年,55000
19165,5-10年,85000
19166,3-5年,36000
19168,1-3年,36000
19169,0-1年,38500
19170,1-3年,41500
19171,1-3年,57750
19173,3-5年,110000
19175,1-3年,52500
19177,0-1年,35000
19178,0-1年,45000
19180,0-1年,65000
19184,0-1年,44000
19185,0-1年,55000
19190,0-1年,65000
19191,0-1年,90000
19192,3-5年,65000
19194,0-1年,47500
19195,1-3年,52500
19197,0-1年,47500
19198,0-1年,48000
19200,1-3年,55000
19201,0-1年,33500
19202,1-3年,57750
19204,3-5年,110000
19206,1-3年,52500
19208,0-1年,35000
19209,0-1年,45000
19211,0-1年,65000
19215,0-1年,44000
19216,0-1年,55000
19221,0-1年,65000
19222,0-1年,90000
19223,3-5年,65000
19225,0-1年,47500
19226,1-3年,52500
19228,0-1年,47500
19229,0-1年,48000
19231,1-3年,55000
19232,0-1年,33500
19233,1-3年,57750
19235,3-5年,110000
19237,1-3年,52500
19239,0-1年,35000
19240,0-1年,45000
19242,0-1年,65000
19246,0-1年,44000
19247,0-1年,55000
19252,0-1年,65000
19253,0-1年,90000
19254,3-5年,65000
19256,0-1年,47500
19257,1-3年,52500
19259,0-1年,47500
19260,0-1年,48000
19262,1-3年,55000
19263,0-1年,33500
19264,1-3年,57750
19266,3-5年,110000
19268,1-3年,52500
19270,0-1年,35000
19271,0-1年,45000
19273,0-1年,65000
19277,0-1年,44000
19278,0-1年,55000
19283,0-1年,65000
19284,0-1年,90000
19285,3-5年,65000
19287,0-1年,47500
19288,1-3年,52500
19290,0-1年,47500
19291,0-1年,48000
19293,1-3年,55000
19294,0-1年,33500
19295,1-3年,57750
19297,3-5年,110000
19299,1-3年,52500
19301,0-1年,35000
19302,0-1年,45000
19304,0-1年,65000
19308,0-1年,44000
19309,0-1年,55000
19314,0-1年,65000
19315,0-1年,90000
19316,3-5年,65000
19318,0-1年,47500
19319,1-3年,52500
19321,0-1年,47500
19322,0-1年,48000
19324,1-3年,55000
19325,0-1年,33500
19326,1-3年,57750
19328,3-5年,110000
19330,1-3年,52500
19332,0-1年,35000
19333,0-1年,45000
19335,0-1年,65000
19339,0-1年,44000
19340,0-1年,55000
19345,0-1年,65000
19346,0-1年,90000
19347,3-5年,65000
19349,0-1年,47500
19350,1-3年,52500
19352,0-1年,47500
19353,0-1年,48000
19355,1-3年,55000
19356,0-1年,33500
19357,1-3年,57750
19359,3-5年,110000
19361,1-3年,52500
19363,0-1年,35000
19364,0-1年,45000
19366,0-1年,65000
19370,0-1年,44000
19371,0-1年,55000
19376,0-1年,65000
19377,0-1年,90000
19378,3-5年,65000
19380,0-1年,47500
19381,1-3年,52500
19383,0-1年,47500
19384,0-1年,48000
19386,1-3年,55000
19387,0-1年,33500
19388,1-3年,57750
19390,3-5年,110000
19392,1-3年,52500
19394,0-1年,35000
19395,0-1年,45000
19397,0-1年,65000
19401,0-1年,44000
19402,0-1年,55000
19407,0-1年,65000
19408,0-1年,90000
19409,3-5年,65000
19411,0-1年,47500
19412,1-3年,52500
19414,0-1年,47500
19415,0-1年,48000
19417,1-3年,55000
19418,0-1年,33500
19419,1-3年,57750
19421,3-5年,110000
19423,1-3年,52500
19425,0-1年,35000
19426,0-1年,45000
19428,0-1年,65000
19432,0-1年,44000
19433,0-1年,55000
19438,0-1年,65000
19439,0-1年,90000
19440,3-5年,65000
19442,0-1年,47500
19443,1-3年,52500
19445,0-1年,47500
19446,0-1年,48000
19448,1-3年,55000
19449,0-1年,33500
19450,1-3年,57750
19452,3-5年,110000
19454,1-3年,52500
19456,0-1年,35000
19457,0-1年,45000
19459,0-1年,65000
19463,0-1年,44000
19464,0-1年,55000
19469,0-1年,65000
19470,0-1年,90000
19471,3-5年,65000
19473,0-1年,47500
19474,1-3年,52500
19476,0-1年,47500
19477,0-1年,48000
19479,1-3年,55000
19480,0-1年,33500
19481,1-3年,57750
19483,3-5年,110000
19485,1-3年,52500
19487,0-1年,35000
19488,0-1年,45000
19490,0-1年,65000
19494,0-1年,44000
19495,0-1年,55000
19500,0-1年,65000
19501,0-1年,90000
19502,3-5年,65000
19504,0-1年,47500
19505,1-3年,52500
19507,0-1年,47500
19508,0-1年,48000
19510,1-3年,55000
19511,0-1年,33500
19512,1-3年,57750
19514,3-5年,110000
19516,1-3年,52500
19518,0-1年,35000
19519,0-1年,45000
19521,0-1年,65000
19525,0-1年,44000
19526,0-1年,55000
19531,0-1年,65000
19532,0-1年,90000
19533,3-5年,65000
19535,0-1年,47500
19536,1-3年,52500
19538,0-1年,47500
19539,0-1年,48000
19541,1-3年,55000
19542,0-1年,33500
19543,1-3年,57750
19545,3-5年,110000
19547,1-3年,52500
19549,0-1年,35000
19550,0-1年,45000
19552,0-1年,65000
19556,0-1年,44000
19557,0-1年,55000
19562,0-1年,65000
19563,0-1年,90000
19564,3-5年,65000
19566,0-1年,47500
19567,1-3年,52500
19569,0-1年,47500
19570,0-1年,48000
19572,1-3年,55000
19573,0-1年,33500
19574,1-3年,57750
19576,3-5年,110000
19578,1-3年,52500
19580,0-1年,35000
19581,0-1年,45000
19583,0-1年,65000
19587,0-1年,44000
19588,0-1年,55000
19593,0-1年,65000
19594,0-1年,90000
19595,3-5年,65000
19597,0-1年,47500
19598,1-3年,52500
19600,0-1年,47500
19601,0-1年,48000
19603,1-3年,55000
19604,0-1年,33500
19605,1-3年,57750
19607,3-5年,110000
19609,1-3年,52500
19611,0-1年,35000
19612,0-1年,45000
19614,0-1年,65000
19618,0-1年,44000
19619,0-1年,55000
19624,0-1年,65000
19625,0-1年,90000
19626,3-5年,65000
19628,0-1年,47500
19629,1-3年,52500
19631,0-1年,47500
19632,0-1年,48000
19634,1-3年,55000
19635,0-1年,33500
19636,1-3年,57750
19638,3-5年,110000
19640,1-3年,52500
19642,0-1年,35000
19643,0-1年,45000
19645,0-1年,65000
19649,0-1年,44000
19650,0-1年,55000
19655,0-1年,65000
19656,0-1年,90000
19657,3-5年,65000
19659,0-1年,47500
19660,1-3年,52500
